2012-10-19T18:28:46.210+0100: 2.193: [GC 2.193: [DefNew: 17024K->643K(19136K), 0.0084810 secs] 17024K->643K(260032K), 0.0085510 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-10-19T18:28:46.678+0100: 2.661: [GC 2.661: [DefNew: 17667K->1170K(19136K), 0.0102170 secs] 17667K->1170K(260032K), 0.0102800 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-10-19T18:28:47.529+0100: 3.512: [GC 3.512: [DefNew: 18194K->1895K(19136K), 0.0343810 secs] 18194K->2537K(260032K), 0.0344840 secs] [Times: user=0.03 sys=0.01, real=0.03 secs] 
2012-10-19T18:28:48.202+0100: 4.185: [GC 4.185: [DefNew: 18919K->1263K(19136K), 0.0185200 secs] 19561K->3743K(260032K), 0.0186110 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-10-19T18:28:48.814+0100: 4.797: [GC 4.797: [DefNew: 18287K->892K(19136K), 0.0179510 secs] 20767K->4653K(260032K), 0.0180490 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2012-10-19T18:28:50.572+0100: 6.555: [GC 6.555: [DefNew: 17916K->2112K(19136K), 0.0215640 secs] 21677K->6636K(260032K), 0.0216780 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-10-19T18:28:51.213+0100: 7.196: [GC 7.196: [DefNew: 19136K->2111K(19136K), 0.0530560 secs] 23660K->9676K(260032K), 0.0531760 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2012-10-19T18:29:00.865+0100: 16.848: [GC 16.848: [DefNew: 19135K->1876K(19136K), 0.0180060 secs] 26700K->10541K(260032K), 0.0181450 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-10-19T18:29:35.833+0100: 51.816: [GC 51.816: [DefNew: 18900K->2112K(19136K), 0.0284370 secs] 27565K->11673K(260032K), 0.0286140 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
2012-10-19T18:30:06.935+0100: 82.918: [GC 82.918: [DefNew: 19134K->1693K(19136K), 0.0080920 secs] 28695K->12017K(260032K), 0.0081910 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-10-19T18:30:09.292+0100: 85.275: [GC 85.275: [DefNew: 18716K->1773K(19136K), 0.0346030 secs] 29040K->12843K(260032K), 0.0347440 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
