3.010: [Full GC 3.010: [CMS: 0K->4727K(2621440K), 0.2243070 secs] 553815K->4727K(4037056K), [CMS Perm : 21246K->21212K(21248K)], 0.2245780 secs] [Times: user=0.18 sys=0.04, real=0.22 secs] 
6.614: [Full GC 6.614: [CMS: 4727K->6497K(2621440K), 0.3787140 secs] 304018K->6497K(4037056K), [CMS Perm : 35262K->35252K(35356K)], 0.3791920 secs] [Times: user=0.44 sys=0.01, real=0.38 secs] 
763.069: [GC 763.070: [ParNew: 1258368K->93915K(1415616K), 0.1425690 secs] 1264865K->100412K(4037056K), 0.1428770 secs] [Times: user=0.74 sys=0.16, real=0.14 secs] 
1204.934: [GC 1204.934: [ParNew: 1352283K->90312K(1415616K), 0.6635660 secs] 1358780K->147789K(4037056K), 0.6638790 secs] [Times: user=0.97 sys=0.14, real=0.66 secs] 
1462.019: [GC 1462.019: [ParNew: 1348680K->74190K(1415616K), 0.0729310 secs] 1406157K->131667K(4037056K), 0.0733100 secs] [Times: user=0.77 sys=0.00, real=0.07 secs] 
1769.531: [GC 1769.531: [ParNew: 1332558K->90326K(1415616K), 0.0917150 secs] 1390035K->147802K(4037056K), 0.0921560 secs] [Times: user=0.60 sys=0.05, real=0.10 secs] 
1956.158: [GC 1956.159: [ParNew: 1348694K->117196K(1415616K), 0.1126840 secs] 1406170K->174672K(4037056K), 0.1130190 secs] [Times: user=0.97 sys=0.03, real=0.11 secs] 
2119.184: [GC 2119.184: [ParNew: 1375564K->101888K(1415616K), 0.3940590 secs] 1433040K->187954K(4037056K), 0.3944230 secs] [Times: user=1.20 sys=0.10, real=0.39 secs] 
2321.958: [GC 2321.958: [ParNew: 1360256K->91214K(1415616K), 0.0712530 secs] 1446322K->177280K(4037056K), 0.0716260 secs] [Times: user=0.72 sys=0.01, real=0.07 secs] 
2490.955: [GC 2490.955: [ParNew: 1349582K->99074K(1415616K), 0.0742670 secs] 1435648K->185140K(4037056K), 0.0746230 secs] [Times: user=0.73 sys=0.00, real=0.08 secs] 
2670.746: [GC 2670.746: [ParNew: 1357442K->103000K(1415616K), 0.0777700 secs] 1443508K->189066K(4037056K), 0.0780560 secs] [Times: user=0.72 sys=0.00, real=0.08 secs] 
2829.892: [GC 2829.892: [ParNew: 1361368K->99136K(1415616K), 0.0957710 secs] 1447434K->185202K(4037056K), 0.0961510 secs] [Times: user=0.79 sys=0.02, real=0.10 secs] 
2982.057: [GC 2982.057: [ParNew: 1357504K->104713K(1415616K), 0.1114020 secs] 1443570K->190779K(4037056K), 0.1117510 secs] [Times: user=0.77 sys=0.01, real=0.11 secs] 
3130.209: [GC 3130.209: [ParNew: 1363081K->100325K(1415616K), 0.2237140 secs] 1449147K->186391K(4037056K), 0.2240660 secs] [Times: user=0.81 sys=0.04, real=0.23 secs] 
3273.946: [GC 3273.947: [ParNew: 1358693K->102844K(1415616K), 0.0957520 secs] 1444759K->188910K(4037056K), 0.0961120 secs] [Times: user=0.76 sys=0.02, real=0.10 secs] 
3409.764: [GC 3409.764: [ParNew: 1361212K->99367K(1415616K), 0.0894930 secs] 1447278K->185433K(4037056K), 0.0899000 secs] [Times: user=0.73 sys=0.00, real=0.09 secs] 
3535.319: [GC 3535.319: [ParNew: 1357735K->110481K(1415616K), 0.0902310 secs] 1443801K->196547K(4037056K), 0.0905710 secs] [Times: user=0.87 sys=0.02, real=0.09 secs] 
3651.962: [GC 3651.963: [ParNew: 1368849K->116329K(1415616K), 0.1060680 secs] 1454915K->202394K(4037056K), 0.1064260 secs] [Times: user=0.79 sys=0.01, real=0.10 secs] 
3790.018: [GC 3790.018: [ParNew: 1374697K->99429K(1415616K), 0.2404740 secs] 1460762K->185495K(4037056K), 0.2408330 secs] [Times: user=0.84 sys=0.04, real=0.24 secs] 
3916.060: [GC 3916.060: [ParNew: 1357797K->115329K(1415616K), 0.1687790 secs] 1443863K->201395K(4037056K), 0.1690770 secs] [Times: user=1.12 sys=0.14, real=0.17 secs] 
4057.542: [GC 4057.542: [ParNew: 1373697K->99242K(1415616K), 0.4231890 secs] 1459763K->209675K(4037056K), 0.4235780 secs] [Times: user=1.00 sys=0.05, real=0.42 secs] 
