5275.496: [GC 5275.496: [ParNew: 1363835K->143325K(1415616K), 0.0277750 secs] 2068893K->848384K(8231360K), 0.0280690 secs] [Times: user=0.42 sys=0.01, real=0.02 secs] 
5279.604: [GC 5279.604: [ParNew: 1401693K->129725K(1415616K), 0.0587070 secs] 2106752K->848951K(8231360K), 0.0590080 secs] [Times: user=0.51 sys=0.05, real=0.06 secs] 
5284.796: [GC 5284.797: [ParNew: 1388093K->123036K(1415616K), 0.0581980 secs] 2107319K->855970K(8231360K), 0.0584960 secs] [Times: user=0.52 sys=0.04, real=0.06 secs] 
5288.828: [GC 5288.828: [ParNew: 1381404K->128520K(1415616K), 0.0490480 secs] 2114338K->873119K(8231360K), 0.0493540 secs] [Times: user=0.53 sys=0.03, real=0.05 secs] 
5292.714: [GC 5292.714: [ParNew: 1386888K->127142K(1415616K), 0.0537010 secs] 2131487K->884057K(8231360K), 0.0539830 secs] [Times: user=0.49 sys=0.04, real=0.05 secs] 
5298.120: [GC 5298.120: [ParNew: 1385510K->104465K(1415616K), 0.0483470 secs] 2142425K->872846K(8231360K), 0.0486530 secs] [Times: user=0.44 sys=0.03, real=0.05 secs] 
5307.616: [GC 5307.617: [ParNew: 1362833K->103841K(1415616K), 0.0237720 secs] 2131214K->872222K(8231360K), 0.0241170 secs] [Times: user=0.35 sys=0.00, real=0.02 secs] 
5310.070: [GC 5310.070: [ParNew: 1362209K->147753K(1415616K), 0.0244140 secs] 2130590K->916134K(8231360K), 0.0247060 secs] [Times: user=0.37 sys=0.00, real=0.03 secs] 
5312.192: [GC 5312.192: [ParNew: 1406121K->111808K(1415616K), 0.0515810 secs] 2174502K->891616K(8231360K), 0.0518680 secs] [Times: user=0.51 sys=0.03, real=0.06 secs] 
5314.324: [GC 5314.324: [ParNew: 1370176K->140991K(1415616K), 0.0570950 secs] 2149984K->932107K(8231360K), 0.0573920 secs] [Times: user=0.55 sys=0.04, real=0.05 secs] 
5315.702: [GC 5315.702: [ParNew: 1399359K->132130K(1415616K), 0.0932610 secs] 2190475K->947009K(8231360K), 0.0935600 secs] [Times: user=0.63 sys=0.08, real=0.10 secs] 
5317.390: [GC 5317.390: [ParNew: 1390498K->120757K(1415616K), 0.0465440 secs] 2205377K->945206K(8231360K), 0.0468480 secs] [Times: user=0.47 sys=0.02, real=0.05 secs] 
5318.613: [GC 5318.613: [ParNew: 1379125K->138443K(1415616K), 0.0439270 secs] 2203574K->971926K(8231360K), 0.0442190 secs] [Times: user=0.45 sys=0.04, real=0.05 secs] 
5320.066: [GC 5320.066: [ParNew: 1396811K->124850K(1415616K), 0.0620530 secs] 2230294K->973612K(8231360K), 0.0623510 secs] [Times: user=0.49 sys=0.05, real=0.06 secs] 
5320.911: [GC 5320.911: [ParNew: 1383218K->114656K(1415616K), 0.0479100 secs] 2231980K->974934K(8231360K), 0.0482090 secs] [Times: user=0.46 sys=0.04, real=0.05 secs] 
5321.920: [GC 5321.920: [ParNew: 1373024K->127644K(1415616K), 0.0663010 secs] 2233302K->1003884K(8231360K), 0.0666010 secs] [Times: user=0.47 sys=0.06, real=0.07 secs] 
5323.124: [GC 5323.124: [ParNew: 1386012K->151019K(1415616K), 0.0267290 secs] 2262252K->1027258K(8231360K), 0.0270450 secs] [Times: user=0.42 sys=0.00, real=0.03 secs] 
