2012-05-21T19:28:05.966+0200: 11.712: [GC [PSYoungGen: 501923K->35602K(2090688K)] 501923K->35602K(6869376K), 0.0563317 secs] [Times: user=0.25 sys=0.05, real=0.05 secs] 
2012-05-21T19:28:06.012+0200: 11.769: [Full GC (System) [PSYoungGen: 35602K->0K(2090688K)] [PSOldGen: 0K->35155K(4778688K)] 35602K->35155K(6869376K) [PSPermGen: 27743K->27743K(393216K)], 0.2828144 secs] [Times: user=0.30 sys=0.00, real=0.30 secs] 
2012-05-21T19:28:34.946+0200: 40.648: [GC [PSYoungGen: 1792064K->148265K(2090688K)] 1827219K->183420K(6869376K), 0.2054103 secs] [Times: user=0.58 sys=0.23, real=0.20 secs] 
2012-05-21T19:35:27.865+0200: 452.793: [GC [PSYoungGen: 1940329K->185810K(2090688K)] 1975484K->220965K(6869376K), 0.3109340 secs] [Times: user=0.83 sys=0.05, real=0.31 secs] 
2012-05-21T19:48:16.507+0200: 1221.166: [GC [PSYoungGen: 1977874K->212547K(2090688K)] 2013029K->247702K(6869376K), 0.1849445 secs] [Times: user=1.12 sys=0.11, real=0.19 secs] 
2012-05-21T20:05:33.180+0200: 2257.894: [GC [PSYoungGen: 2004611K->198490K(2090688K)] 2039766K->233646K(6869376K), 0.1460635 secs] [Times: user=0.94 sys=0.06, real=0.16 secs] 
2012-05-21T20:16:23.655+0200: 2908.482: [GC [PSYoungGen: 1990554K->253789K(2035264K)] 2025710K->288945K(6813952K), 0.2081894 secs] [Times: user=1.48 sys=0.11, real=0.20 secs] 
2012-05-21T20:25:19.420+0200: 3444.079: [GC [PSYoungGen: 1990429K->226499K(1963200K)] 2025585K->261655K(6741888K), 0.2137347 secs] [Times: user=1.23 sys=0.00, real=0.22 secs] 
2012-05-21T20:28:07.377+0200: 3611.982: [GC [PSYoungGen: 1214625K->72897K(2051904K)] 1249780K->240874K(6830592K), 0.2397090 secs] [Times: user=1.16 sys=0.37, real=0.23 secs] 
2012-05-21T20:28:07.611+0200: 3612.222: [Full GC (System) [PSYoungGen: 72897K->0K(2051904K)] [PSOldGen: 167976K->240493K(4778688K)] 240874K->240493K(6830592K) [PSPermGen: 102601K->102601K(393216K)], 1.3960661 secs] [Times: user=1.39 sys=0.00, real=1.39 secs] 
2012-05-21T20:35:27.103+0200: 4051.657: [GC [PSYoungGen: 1719744K->113345K(2054528K)] 1960237K->353839K(6833216K), 0.1672430 secs] [Times: user=1.20 sys=0.00, real=0.17 secs] 
2012-05-21T20:45:27.482+0200: 4652.029: [GC [PSYoungGen: 1833089K->39630K(2055104K)] 2073583K->280124K(6833792K), 0.0570408 secs] [Times: user=0.45 sys=0.00, real=0.06 secs] 
2012-05-21T20:55:18.886+0200: 5243.401: [GC [PSYoungGen: 1768718K->7430K(1736576K)] 2009212K->248012K(6515264K), 0.0115684 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-05-21T21:02:50.551+0200: 5695.064: [GC [PSYoungGen: 1736518K->544K(2048128K)] 1977100K->241330K(6826816K), 0.0075677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-05-21T21:09:08.049+0200: 6072.547: [GC [PSYoungGen: 1712736K->1158K(2050752K)] 1953522K->242040K(6829440K), 0.0094923 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2012-05-21T21:15:57.811+0200: 6482.326: [GC [PSYoungGen: 1713350K->92869K(2072192K)] 1954232K->333831K(6850880K), 0.1383325 secs] [Times: user=0.84 sys=0.00, real=0.14 secs] 
2012-05-21T21:25:33.578+0200: 7058.068: [GC [PSYoungGen: 1827845K->85551K(2052096K)] 2068807K->326666K(6830784K), 0.1127586 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
2012-05-21T21:28:09.049+0200: 7213.535: [GC [PSYoungGen: 807298K->320K(2091008K)] 1048413K->241579K(6869696K), 0.0149542 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
2012-05-21T21:28:09.065+0200: 7213.550: [Full GC (System) [PSYoungGen: 320K->0K(2091008K)] [PSOldGen: 241259K->241532K(4778688K)] 241579K->241532K(6869696K) [PSPermGen: 102976K->102976K(393216K)], 1.2432049 secs] [Times: user=1.23 sys=0.00, real=1.23 secs] 
2012-05-21T21:35:28.027+0200: 7652.511: [GC [PSYoungGen: 1791104K->105421K(2089408K)] 2032636K->346954K(6868096K), 0.1438179 secs] [Times: user=1.12 sys=0.00, real=0.14 secs] 
2012-05-21T21:45:26.233+0200: 8250.708: [GC [PSYoungGen: 1896525K->89661K(2124992K)] 2138058K->331274K(6903680K), 0.1194897 secs] [Times: user=0.92 sys=0.00, real=0.13 secs] 
2012-05-21T21:55:23.006+0200: 8847.493: [GC [PSYoungGen: 1932797K->30616K(2107456K)] 2174410K->272316K(6886144K), 0.0461124 secs] [Times: user=0.33 sys=0.00, real=0.05 secs] 
2012-05-21T22:05:19.458+0200: 9443.919: [GC [PSYoungGen: 1873752K->7597K(2134080K)] 2115452K->249409K(6912768K), 0.0112254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-05-21T22:13:14.995+0200: 9919.445: [GC [PSYoungGen: 1883309K->608K(2130944K)] 2125121K->242540K(6909632K), 0.0155292 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
