0.901: [GC [PSYoungGen: 12288K->1650K(14336K)] 12288K->1650K(47104K), 0.0088584 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.130: [GC [PSYoungGen: 8150K->1712K(14336K)] 8150K->1712K(47104K), 0.0059520 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.136: [Full GC (System) [PSYoungGen: 1712K->0K(14336K)] [ParOldGen: 0K->1619K(32768K)] 1712K->1619K(47104K) [PSPermGen: 10118K->10064K(21248K)], 0.0911719 secs] [Times: user=0.08 sys=0.00, real=0.09 secs] 
1.229: [GC [PSYoungGen: 0K->0K(14336K)] 1619K->1619K(47104K), 0.0003201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.229: [Full GC (System) [PSYoungGen: 0K->0K(14336K)] [ParOldGen: 1619K->1612K(32768K)] 1619K->1612K(47104K) [PSPermGen: 10064K->10064K(22976K)], 0.0478883 secs] [Times: user=0.06 sys=0.01, real=0.05 secs] 
7.813: [GC [PSYoungGen: 12288K->2040K(14336K)] 13900K->4500K(47104K), 0.0125882 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
10.235: [GC [PSYoungGen: 14313K->2016K(14336K)] 16773K->6423K(47104K), 0.0192195 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
10.267: [GC [PSYoungGen: 14274K->2044K(14336K)] 18681K->6544K(47104K), 0.0079833 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
10.285: [GC [PSYoungGen: 14331K->2031K(14336K)] 18831K->6676K(47104K), 0.0068561 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
10.306: [GC [PSYoungGen: 14279K->2032K(28160K)] 18924K->6677K(60928K), 0.0080990 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
10.348: [GC [PSYoungGen: 26484K->801K(28416K)] 31129K->6743K(61184K), 0.0103717 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
10.378: [GC [PSYoungGen: 25317K->223K(52992K)] 31259K->6838K(85760K), 0.0036081 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.499: [GC [PSYoungGen: 49274K->242K(53056K)] 55889K->6858K(85824K), 0.0011238 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.539: [GC [PSYoungGen: 49296K->307K(82624K)] 55912K->6923K(115392K), 0.0013434 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.638: [GC [PSYoungGen: 78894K->288K(82624K)] 85510K->6935K(115392K), 0.0017273 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.706: [GC [PSYoungGen: 78880K->130K(129600K)] 85527K->6785K(162368K), 0.0007639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.859: [GC [PSYoungGen: 125886K->430K(129664K)] 132542K->7109K(162432K), 0.0018177 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.994: [GC [PSYoungGen: 126156K->760K(204608K)] 132835K->7463K(237376K), 0.0057188 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
11.283: [GC [PSYoungGen: 201976K->1297K(204800K)] 208679K->8033K(237568K), 0.0053453 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.451: [GC [PSYoungGen: 202513K->1473K(258432K)] 209248K->8331K(291200K), 0.0037141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.717: [GC [PSYoungGen: 256578K->1741K(258496K)] 263435K->8660K(291264K), 0.0041000 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
11.920: [GC [PSYoungGen: 256906K->1816K(258816K)] 263826K->8844K(291584K), 0.0037313 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.142: [GC [PSYoungGen: 257298K->2202K(257728K)] 264326K->9284K(290496K), 0.0045880 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.384: [GC [PSYoungGen: 257690K->2590K(258176K)] 264772K->9726K(290944K), 0.0052360 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
12.627: [GC [PSYoungGen: 257310K->1470K(258432K)] 264446K->8684K(291200K), 0.0047139 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.839: [GC [PSYoungGen: 256190K->1732K(258112K)] 263404K->9087K(290880K), 0.0031769 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13.063: [GC [PSYoungGen: 256633K->2845K(258304K)] 263988K->10280K(291072K), 0.0070574 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.274: [GC [PSYoungGen: 257714K->2936K(257920K)] 265148K->10465K(290688K), 0.0050229 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.483: [GC [PSYoungGen: 257076K->3854K(258112K)] 264605K->11391K(290880K), 0.0066096 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.710: [GC [PSYoungGen: 258014K->3170K(256704K)] 265550K->10730K(289472K), 0.0036275 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.918: [GC [PSYoungGen: 255820K->3283K(256000K)] 263380K->10875K(288768K), 0.0047120 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
14.141: [GC [PSYoungGen: 255920K->3434K(256896K)] 263512K->11059K(289664K), 0.0047364 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.364: [GC [PSYoungGen: 255460K->2413K(254464K)] 263084K->10077K(287232K), 0.0044444 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.572: [GC [PSYoungGen: 254429K->2440K(257216K)] 262093K->10185K(289984K), 0.0025050 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.772: [GC [PSYoungGen: 254809K->2727K(257024K)] 262554K->10504K(289792K), 0.0032866 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.989: [GC [PSYoungGen: 255107K->3439K(257088K)] 262884K->11232K(289856K), 0.0039529 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
15.201: [GC [PSYoungGen: 255980K->2228K(257280K)] 263773K->10045K(290048K), 0.0038320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.542: [GC [PSYoungGen: 254678K->3269K(257344K)] 262494K->11102K(290112K), 0.0127658 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
15.782: [GC [PSYoungGen: 256026K->3258K(257408K)] 263859K->11115K(290176K), 0.0046271 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.010: [GC [PSYoungGen: 256035K->3003K(257472K)] 263891K->10900K(290240K), 0.0052115 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.236: [GC [PSYoungGen: 255851K->2274K(255168K)] 263747K->10226K(287936K), 0.0026881 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.434: [GC [PSYoungGen: 255113K->2923K(257472K)] 263065K->10947K(290240K), 0.0050034 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.649: [GC [PSYoungGen: 255902K->2379K(257408K)] 263926K->10427K(290176K), 0.0026033 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.844: [GC [PSYoungGen: 255352K->2712K(257600K)] 263401K->10785K(290368K), 0.0034950 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.047: [GC [PSYoungGen: 256087K->2361K(257536K)] 264159K->10894K(290304K), 0.0032877 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
17.250: [GC [PSYoungGen: 255734K->2323K(257856K)] 264268K->10896K(290624K), 0.0027427 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.447: [GC [PSYoungGen: 256126K->2331K(257792K)] 264699K->10928K(290560K), 0.0027112 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
17.664: [GC [PSYoungGen: 256145K->2202K(258048K)] 264742K->10823K(290816K), 0.0044132 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.878: [GC [PSYoungGen: 256457K->1853K(258048K)] 265078K->10530K(290816K), 0.0024635 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
18.082: [GC [PSYoungGen: 256121K->2147K(258240K)] 264798K->10848K(291008K), 0.0030411 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
18.283: [GC [PSYoungGen: 256734K->1973K(258304K)] 265435K->10706K(291072K), 0.0024255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.489: [GC [PSYoungGen: 256565K->2462K(258304K)] 265298K->11219K(291072K), 0.0030659 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
18.699: [GC [PSYoungGen: 257245K->1823K(258368K)] 266002K->10620K(291136K), 0.0020401 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
