16.473: [GC (GCLocker Initiated GC) [PSYoungGen: 175104K->16863K(349696K)] 175104K->16935K(355328K), 0.0095410 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
18.667: [GC (Allocation Failure) [PSYoungGen: 191967K->5159K(349696K)] 192041K->5241K(355328K), 0.0043830 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
20.697: [GC (Allocation Failure) [PSYoungGen: 180263K->3832K(349696K)] 180345K->3922K(355328K), 0.0028270 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
22.001: [GC (GCLocker Initiated GC) [PSYoungGen: 178936K->9992K(349696K)] 179026K->10090K(355328K), 0.0048000 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
23.490: [GC (GCLocker Initiated GC) [PSYoungGen: 185096K->22072K(349696K)] 185197K->22181K(355328K), 0.0072810 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
24.705: [GC (Allocation Failure) [PSYoungGen: 197176K->25080K(473600K)] 197290K->37938K(486912K), 0.0232250 secs] [Times: user=0.09 sys=0.04, real=0.02 secs] 
24.729: [Full GC (Ergonomics) [PSYoungGen: 25080K->2964K(473600K)] [ParOldGen: 12858K->13271K(26624K)] 37938K->16236K(500224K) [PSPermGen: 8531K->8493K(21504K)], 0.0590550 secs] [Times: user=0.28 sys=0.00, real=0.06 secs] 
27.305: [GC (Allocation Failure) [PSYoungGen: 451476K->18646K(486400K)] 464748K->31917K(513024K), 0.0119410 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
29.575: [GC (Allocation Failure) [PSYoungGen: 467158K->18638K(489472K)] 480429K->31909K(516096K), 0.0093580 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
31.467: [GC (Allocation Failure) [PSYoungGen: 471758K->20389K(487936K)] 485029K->36717K(514560K), 0.0099400 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
33.286: [GC (Allocation Failure) [PSYoungGen: 473509K->13076K(491008K)] 489837K->43697K(523264K), 0.0106730 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
33.297: [Full GC (Ergonomics) [PSYoungGen: 13076K->0K(491008K)] [ParOldGen: 30621K->14868K(31744K)] 43697K->14868K(522752K) [PSPermGen: 8568K->8567K(21504K)], 0.0357380 secs] [Times: user=0.21 sys=0.01, real=0.04 secs] 
35.181: [GC (Allocation Failure) [PSYoungGen: 456704K->28260K(485376K)] 471572K->43129K(517120K), 0.0113420 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
36.549: [GC (Allocation Failure) [PSYoungGen: 484964K->20342K(488960K)] 499833K->51409K(520704K), 0.0114700 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
36.560: [Full GC (Ergonomics) [PSYoungGen: 20342K->0K(488960K)] [ParOldGen: 31066K->22519K(45056K)] 51409K->22519K(534016K) [PSPermGen: 8580K->8580K(21504K)], 0.0473720 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
38.154: [GC (GCLocker Initiated GC) [PSYoungGen: 453120K->21357K(488448K)] 475639K->43876K(533504K), 0.0064950 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
39.596: [GC (GCLocker Initiated GC) [PSYoungGen: 474477K->27413K(486400K)] 497006K->49941K(531456K), 0.0077960 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
41.054: [GC (GCLocker Initiated GC) [PSYoungGen: 478997K->36333K(487936K)] 501535K->59231K(532992K), 0.0127740 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
42.578: [GC (GCLocker Initiated GC) [PSYoungGen: 487917K->34802K(471552K)] 510822K->72499K(516608K), 0.0159110 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
42.594: [Full GC (Ergonomics) [PSYoungGen: 34802K->0K(471552K)] [ParOldGen: 37696K->31854K(58880K)] 72499K->31854K(530432K) [PSPermGen: 8606K->8606K(21504K)], 0.0538410 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
43.900: [GC (GCLocker Initiated GC) [PSYoungGen: 435200K->29877K(465408K)] 467056K->61733K(524288K), 0.0093810 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
45.090: [GC (GCLocker Initiated GC) [PSYoungGen: 465077K->24277K(480768K)] 496944K->56145K(539648K), 0.0085320 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
46.269: [GC (Allocation Failure) [PSYoungGen: 459989K->22846K(479232K)] 491859K->64024K(538112K), 0.0094920 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
47.688: [GC (Allocation Failure) [PSYoungGen: 458558K->28822K(482816K)] 499736K->70184K(541696K), 0.0090610 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
48.907: [GC (GCLocker Initiated GC) [PSYoungGen: 470166K->20603K(482816K)] 511528K->73373K(541696K), 0.0123210 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
48.919: [Full GC (Ergonomics) [PSYoungGen: 20603K->0K(482816K)] [ParOldGen: 52769K->20518K(50688K)] 73373K->20518K(533504K) [PSPermGen: 8633K->8633K(21504K)], 0.0424750 secs] [Times: user=0.21 sys=0.01, real=0.05 secs] 
50.142: [GC (GCLocker Initiated GC) [PSYoungGen: 441344K->34899K(478720K)] 461865K->55421K(529408K), 0.0094890 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
51.138: [GC (GCLocker Initiated GC) [PSYoungGen: 473171K->24864K(481280K)] 493696K->45388K(531968K), 0.0080600 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
52.437: [GC (GCLocker Initiated GC) [PSYoungGen: 463136K->15684K(483328K)] 483665K->42616K(534016K), 0.0068450 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
53.618: [GC (GCLocker Initiated GC) [PSYoungGen: 457540K->14180K(482816K)] 484477K->41157K(533504K), 0.0042380 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
54.994: [GC (GCLocker Initiated GC) [PSYoungGen: 456036K->27428K(483328K)] 483016K->54408K(534016K), 0.0088160 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
