0.767: [GC (System.gc()) [PSYoungGen: 19838K->4065K(76800K)] 19838K->4137K(251392K), 0.0053240 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.772: [Full GC (System.gc()) [PSYoungGen: 4065K->0K(76800K)] [ParOldGen: 72K->3757K(174592K)] 4137K->3757K(251392K) [PSPermGen: 9472K->9434K(21504K)], 0.0248440 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
0.798: [GC (System.gc()) [PSYoungGen: 1320K->32K(76800K)] 5078K->3789K(251392K), 0.0005330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.798: [Full GC (System.gc()) [PSYoungGen: 32K->0K(76800K)] [ParOldGen: 3757K->3757K(174592K)] 3789K->3757K(251392K) [PSPermGen: 9434K->9434K(21504K)], 0.0073370 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
47.418: [GC (Allocation Failure) [PSYoungGen: 66048K->10728K(76800K)] 69805K->16000K(251392K), 0.0069650 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
48.728: [GC (Allocation Failure) [PSYoungGen: 76776K->10728K(76800K)] 82048K->24440K(251392K), 0.0115790 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
49.435: [GC (Allocation Failure) [PSYoungGen: 76776K->10752K(76800K)] 90488K->32982K(251392K), 0.0119760 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
49.717: [GC (Allocation Failure) [PSYoungGen: 76800K->10752K(76800K)] 99030K->44382K(251392K), 0.0150010 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
50.842: [GC (Allocation Failure) [PSYoungGen: 76800K->10752K(76800K)] 110430K->54007K(251392K), 0.0149610 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
51.296: [GC (Allocation Failure) [PSYoungGen: 76800K->10752K(39936K)] 120055K->62995K(214528K), 0.0150650 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
51.391: [GC (Allocation Failure) [PSYoungGen: 39936K->10848K(58368K)] 92179K->66499K(232960K), 0.0119620 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
51.444: [GC (Allocation Failure) [PSYoungGen: 40032K->9905K(58368K)] 95683K->69173K(232960K), 0.0155080 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
51.463: [GC (Allocation Failure) [PSYoungGen: 39024K->6014K(58368K)] 98291K->69281K(232960K), 0.0099990 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
52.189: [GC (Allocation Failure) [PSYoungGen: 35198K->3632K(58368K)] 98465K->72607K(232960K), 0.0105050 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
52.242: [GC (Allocation Failure) [PSYoungGen: 32816K->5280K(58368K)] 101791K->77555K(232960K), 0.0078370 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
52.466: [GC (Allocation Failure) [PSYoungGen: 34464K->3280K(58368K)] 106739K->80351K(232960K), 0.0088240 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
52.509: [GC (Allocation Failure) [PSYoungGen: 32464K->5072K(34304K)] 109535K->84899K(208896K), 0.0095180 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
52.668: [GC (Allocation Failure) [PSYoungGen: 34256K->2352K(57856K)] 114083K->86583K(232448K), 0.0104650 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
52.738: [GC (Allocation Failure) [PSYoungGen: 32048K->6176K(57344K)] 116279K->92555K(231936K), 0.0112760 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
52.754: [GC (Allocation Failure) [PSYoungGen: 35844K->176K(57856K)] 122224K->92663K(232448K), 0.0067570 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
52.782: [GC (Allocation Failure) [PSYoungGen: 31920K->64K(57856K)] 124407K->92599K(232448K), 0.0010290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.846: [GC (Allocation Failure) [PSYoungGen: 31808K->3328K(59904K)] 124343K->95871K(234496K), 0.0052160 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
52.940: [GC (Allocation Failure) [PSYoungGen: 39123K->3379K(60416K)] 131667K->98707K(235008K), 0.0098620 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
52.954: [GC (Allocation Failure) [PSYoungGen: 39178K->185K(62464K)] 134505K->98729K(237056K), 0.0059520 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
52.963: [GC (Allocation Failure) [PSYoungGen: 39572K->169K(62464K)] 138116K->98714K(237056K), 0.0008970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.039: [GC (Allocation Failure) [PSYoungGen: 39593K->4592K(62464K)] 138138K->103136K(237056K), 0.0088860 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
53.415: [GC (Allocation Failure) [PSYoungGen: 47088K->5680K(62976K)] 145632K->108204K(237568K), 0.0106050 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
53.471: [GC (Allocation Failure) [PSYoungGen: 48176K->4400K(64512K)] 150700K->112404K(239104K), 0.0130550 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
53.541: [GC (Allocation Failure) [PSYoungGen: 52016K->4224K(65536K)] 160020K->116228K(240128K), 0.0104850 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
53.784: [GC (Allocation Failure) [PSYoungGen: 51786K->3582K(67584K)] 163791K->119531K(242176K), 0.0089950 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
53.797: [GC (Allocation Failure) [PSYoungGen: 56318K->1096K(68608K)] 172267K->120438K(243200K), 0.0062170 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
53.808: [GC (Allocation Failure) [PSYoungGen: 53832K->1170K(70144K)] 173174K->121255K(244736K), 0.0042630 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
53.841: [GC (Allocation Failure) [PSYoungGen: 57490K->4672K(71168K)] 177575K->125481K(245760K), 0.0083070 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
54.184: [GC (Allocation Failure) [PSYoungGen: 60992K->6128K(71168K)] 181801K->131465K(245760K), 0.0128830 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
54.527: [GC (Allocation Failure) [PSYoungGen: 64496K->8512K(72192K)] 189833K->139685K(246784K), 0.0158540 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
54.794: [GC (Allocation Failure) [PSYoungGen: 66880K->8944K(72192K)] 198053K->148170K(246784K), 0.0154340 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
54.818: [GC (Allocation Failure) [PSYoungGen: 66762K->1305K(72704K)] 205988K->149140K(247296K), 0.0090360 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
54.833: [GC (Allocation Failure) [PSYoungGen: 59161K->1012K(71680K)] 206996K->150015K(246272K), 0.0036650 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
55.125: [GC (Allocation Failure) [PSYoungGen: 58868K->8112K(72192K)] 207871K->157974K(246784K), 0.0096760 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
55.306: [GC (Allocation Failure) [PSYoungGen: 65968K->8048K(72704K)] 215830K->165671K(247296K), 0.0149110 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
55.637: [GC (Allocation Failure) [PSYoungGen: 65904K->8640K(66560K)] 223527K->174051K(241152K), 0.0140880 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
55.651: [Full GC (Ergonomics) [PSYoungGen: 8640K->0K(66560K)] [ParOldGen: 165411K->139850K(174592K)] 174051K->139850K(241152K) [PSPermGen: 10364K->10364K(21504K)], 0.2476720 secs] [Times: user=1.79 sys=0.01, real=0.24 secs] 
55.906: [GC (Allocation Failure) [PSYoungGen: 57802K->570K(72192K)] 197653K->140421K(246784K), 0.0021710 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
55.913: [GC (Allocation Failure) [PSYoungGen: 57320K->600K(57856K)] 197171K->140819K(232448K), 0.0021870 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
