0.619: [Full GC 16841K->1749K(83008K), 0.0354507 secs]
0.656: [Full GC 1749K->1749K(83008K), 0.0266932 secs]
12.628: [GC 18773K->14419K(83008K), 0.0933424 secs]
12.873: [GC 31443K->30825K(83008K), 0.0458653 secs]
13.028: [GC 47849K->47309K(83008K), 0.0555738 secs]
13.088: [GC 47513K(83008K), 0.0026705 secs]
13.227: [GC 64333K->64057K(83008K), 0.0557981 secs]
13.350: [GC 81081K->80792K(99136K), 0.0627440 secs]
13.457: [GC 90282K(99136K), 0.0082780 secs]
13.500: [GC 97557K->97097K(115264K), 0.0554486 secs]
13.597: [GC 102873K(126912K), 0.0071424 secs]
13.761: [Full GC 114121K->111154K(126912K), 0.3570296 secs]
14.122: [GC 112101K(126912K), 0.0052564 secs]
14.350: [Full GC 126911K->124806K(126912K), 0.4054119 secs]
14.776: [Full GC 126911K->126244K(126912K), 0.4199803 secs]
15.203: [Full GC 126911K->126759K(126912K), 0.4008129 secs]
15.608: [Full GC 126911K->126844K(126912K), 0.4081472 secs]
16.019: [Full GC 126911K->126847K(126912K), 0.3991233 secs]
16.429: [Full GC 126907K->126862K(126912K), 0.4168174 secs]
16.847: [GC 126879K(126912K), 0.0144030 secs]
16.983: [Full GC 126911K->126910K(126912K), 0.2607377 secs]
17.245: [Full GC 126911K->126908K(126912K), 0.2868519 secs]
17.533: [Full GC 126911K->126911K(126912K), 0.2570045 secs]
17.792: [Full GC 126911K->126911K(126912K), 0.2409811 secs]
18.034: [Full GC 126911K->126911K(126912K), 0.2322356 secs]
18.268: [Full GC 126911K->126911K(126912K), 0.2382570 secs]
18.507: [Full GC 126911K->126911K(126912K), 0.2402173 secs]
18.749: [Full GC 126911K->126911K(126912K), 0.2335389 secs]
18.983: [Full GC 126911K->126911K(126912K), 0.2368489 secs]
19.221: [Full GC 126911K->126908K(126912K), 0.2370136 secs]
19.460: [Full GC 126911K->119591K(126912K), 0.2929720 secs]
19.761: [GC 125080K(126912K), 0.0183235 secs]
19.907: [Full GC 126911K->125509K(126912K), 0.2869513 secs]
20.201: [Full GC 126911K->126694K(126912K), 0.2855924 secs]
20.490: [GC 126911K(126912K), 0.0183749 secs]
20.636: [Full GC 126911K->126892K(126912K), 0.2844938 secs]
20.922: [Full GC 126911K->126911K(126912K), 0.2476183 secs]
21.170: [Full GC 126911K->126849K(126912K), 0.2438797 secs]
21.415: [GC 126854K(126912K), 0.0139464 secs]
21.550: [Full GC 126911K->126910K(126912K), 0.2457944 secs]
21.797: [Full GC 126911K->126911K(126912K), 0.2355504 secs]
22.033: [GC 126911K(126912K), 0.0142609 secs]
22.167: [Full GC 126911K->126911K(126912K), 0.2586717 secs]
22.427: [Full GC 126911K->126911K(126912K), 0.2470151 secs]
22.675: [Full GC 126911K->126911K(126912K), 0.2408555 secs]
22.917: [Full GC 126911K->126911K(126912K), 0.2444096 secs]
23.163: [Full GC 126911K->126911K(126912K), 0.2422848 secs]
23.406: [Full GC 126911K->126911K(126912K), 0.2553374 secs]
23.663: [Full GC 126911K->126911K(126912K), 0.2726934 secs]
23.937: [Full GC 126911K->126910K(126912K), 0.3076394 secs]
24.246: [Full GC 126911K->126911K(126912K), 0.2979899 secs]
24.546: [Full GC 126911K->126911K(126912K), 0.2471876 secs]
24.794: [Full GC 126911K->126911K(126912K), 0.2426519 secs]
25.038: [Full GC 126911K->126911K(126912K), 0.2408289 secs]
25.280: [Full GC 126911K->126911K(126912K), 0.2585898 secs]
25.540: [Full GC 126911K->126911K(126912K), 0.2526555 secs]
25.794: [Full GC 126911K->126911K(126912K), 0.2482804 secs]
26.043: [Full GC 126911K->126902K(126912K), 0.2480664 secs]
26.293: [GC 126902K(126912K), 0.0165134 secs]
26.428: [Full GC 126911K->126903K(126912K), 0.2435250 secs]
26.674: [Full GC 126911K->126908K(126912K), 0.3024724 secs]
26.978: [Full GC 126911K->126911K(126912K), 0.2484055 secs]
27.228: [Full GC 126911K->126911K(126912K), 0.2405761 secs]
27.470: [Full GC 126911K->126911K(126912K), 0.2578708 secs]
27.729: [GC 126911K(126912K), 0.0147012 secs]
27.862: [Full GC 126911K->114183K(126912K), 0.2787555 secs]
28.211: [Full GC 126911K->124399K(126912K), 0.2915624 secs]
28.509: [GC 125072K(126912K), 0.0142277 secs]
28.659: [Full GC 126911K->126489K(126912K), 0.2998734 secs]
28.970: [Full GC 126911K->126718K(126912K), 0.3221880 secs]
29.296: [Full GC 126911K->126881K(126912K), 0.3048588 secs]
29.602: [Full GC 126911K->126911K(126912K), 0.2490959 secs]
29.852: [Full GC 126911K->126905K(126912K), 0.2511574 secs]
30.106: [GC 126906K(126912K), 0.0167098 secs]
30.249: [Full GC 126911K->126907K(126912K), 0.2520953 secs]
30.503: [Full GC 126911K->126908K(126912K), 0.2530584 secs]
30.757: [Full GC 126911K->126908K(126912K), 0.2519395 secs]
31.011: [Full GC 126911K->126911K(126912K), 0.2534557 secs]
31.266: [Full GC 126911K->126911K(126912K), 0.2530437 secs]
31.520: [Full GC 126911K->126911K(126912K), 0.2668215 secs]
31.788: [Full GC 126911K->126911K(126912K), 0.2541584 secs]
32.043: [Full GC 126911K->126911K(126912K), 0.2441440 secs]
32.289: [Full GC 126911K->111500K(126912K), 0.2820556 secs]
32.573: [GC 111666K(126912K), 0.0037331 secs]
32.879: [Full GC 126911K->97587K(126912K), 0.2972962 secs]
