0.288: [GC 17024K->13057K(83008K), 0.0441346 secs]
0.360: [GC 27711K->25864K(83008K), 0.0413429 secs]
0.423: [GC 41044K->41232K(83008K), 0.0526802 secs]
0.477: [GC 46468K(83008K), 0.0039333 secs]
0.555: [GC 58256K->50668K(83008K), 0.0284159 secs]
0.585: [GC 50934K(83008K), 0.0049002 secs]
0.606: [GC 65358K->48371K(83008K), 0.0072156 secs]
0.627: [GC 61889K(99756K), 0.0080022 secs]
0.640: [GC 65395K->48501K(99756K), 0.0003885 secs]
0.662: [GC 65525K->48404K(99756K), 0.0004052 secs]
0.677: [GC 65428K->48379K(99756K), 0.0002890 secs]
0.749: [GC 65403K->51516K(99756K), 0.0049525 secs]
0.783: [GC 67885K->65289K(99756K), 0.0486075 secs]
0.832: [GC 67616K(99756K), 0.0086208 secs]
0.870: [GC 78814K->74934K(118604K), 0.0364697 secs]
0.908: [GC 75214K(118604K), 0.0010423 secs]
0.933: [GC 91958K->92012K(118604K), 0.0493966 secs]
1.028: [Full GC 109036K->44313K(118604K), 0.1666489 secs]
1.216: [GC 61337K->44820K(126912K), 0.0005062 secs]
1.237: [GC 61844K->44440K(126912K), 0.0004104 secs]
1.256: [GC 61464K->44345K(126912K), 0.0004918 secs]
1.286: [GC 61369K->50265K(126912K), 0.0110166 secs]
1.324: [GC 67289K->64303K(126912K), 0.0336317 secs]
1.359: [GC 64598K(126912K), 0.0011611 secs]
1.403: [GC 81327K->81518K(126912K), 0.0436593 secs]
1.468: [GC 93626K(126912K), 0.0047976 secs]
1.534: [GC 64048K->59212K(126912K), 0.0377039 secs]
1.621: [GC 66817K->50317K(126912K), 0.0071138 secs]
1.668: [GC 67341K->49924K(126912K), 0.0033753 secs]
1.707: [GC 66948K->49858K(126912K), 0.0006177 secs]
1.748: [GC 66882K->49801K(126912K), 0.0004007 secs]
1.776: [GC 66825K->49795K(126912K), 0.0004870 secs]
1.809: [GC 66819K->49797K(126912K), 0.0005885 secs]
1.843: [GC 66821K->49795K(126912K), 0.0004281 secs]
1.873: [GC 66819K->49795K(126912K), 0.0004287 secs]
1.909: [GC 66819K->49795K(126912K), 0.0006250 secs]
1.943: [GC 66819K->49793K(126912K), 0.0005400 secs]
1.976: [GC 66817K->49795K(126912K), 0.0005053 secs]
