63.357: [GC 17024K->2623K(83008K), 0.0185494 secs]
66.947: [Full GC 16637K->10423K(83008K), 0.0876685 secs]
70.643: [Full GC 20892K->10474K(83008K), 0.0988047 secs]
97.364: [GC 27498K->21058K(83008K), 0.0474152 secs]
98.915: [GC 37738K->22100K(83008K), 0.0122739 secs]
99.010: [GC 38943K->22265K(83008K), 0.0041352 secs]
99.074: [GC 39147K->21854K(83008K), 0.0041954 secs]
99.152: [GC 38772K->21757K(83008K), 0.0032377 secs]
99.209: [GC 38687K->21950K(83008K), 0.0047036 secs]
99.276: [GC 38599K->21708K(83008K), 0.0033357 secs]
99.368: [GC 38469K->21908K(83008K), 0.0041777 secs]
99.541: [GC 38704K->22230K(83008K), 0.0041554 secs]
99.642: [GC 39053K->21658K(83008K), 0.0039662 secs]
99.710: [GC 38376K->22015K(83008K), 0.0035030 secs]
99.807: [GC 38882K->21858K(83008K), 0.0065203 secs]
99.908: [GC 38657K->22213K(83008K), 0.0040217 secs]
99.995: [GC 39139K->22244K(83008K), 0.0039196 secs]
100.080: [GC 39126K->22398K(83008K), 0.0047609 secs]
100.195: [GC 39422K->22291K(83008K), 0.0044394 secs]
100.309: [GC 39299K->22873K(83008K), 0.0041649 secs]
100.502: [GC 39594K->22454K(83008K), 0.0055269 secs]
100.607: [GC 39126K->22270K(83008K), 0.0047720 secs]
100.724: [GC 39037K->22237K(83008K), 0.0051828 secs]
100.851: [GC 39040K->22428K(83008K), 0.0046631 secs]
100.972: [GC 39277K->22290K(83008K), 0.0066269 secs]
101.086: [GC 39113K->22348K(83008K), 0.0045275 secs]
101.213: [GC 39235K->22758K(83008K), 0.0060066 secs]
101.334: [GC 39680K->22408K(83008K), 0.0049680 secs]
101.593: [GC 39083K->22928K(83008K), 0.0061547 secs]
101.736: [GC 39944K->22400K(83008K), 0.0052446 secs]
101.889: [GC 39424K->22993K(83008K), 0.0076764 secs]
102.065: [GC 40017K->22585K(83008K), 0.0059404 secs]
102.181: [GC 39271K->23459K(83008K), 0.0053843 secs]
102.339: [GC 40220K->23039K(83008K), 0.0055867 secs]
102.575: [GC 39857K->23555K(83008K), 0.0057737 secs]
102.761: [GC 40443K->23404K(83008K), 0.0058528 secs]
102.927: [GC 40333K->23902K(83008K), 0.0079474 secs]
103.078: [GC 40751K->24294K(83008K), 0.0056736 secs]
103.269: [GC 41318K->24576K(83008K), 0.0067411 secs]
103.526: [GC 41600K->24904K(83008K), 0.0065335 secs]
103.708: [GC 41911K->24746K(83008K), 0.0072199 secs]
103.864: [GC 41770K->25010K(83008K), 0.0098878 secs]
104.040: [GC 41693K->25153K(83008K), 0.0056695 secs]
104.256: [GC 41900K->25266K(83008K), 0.0082020 secs]
104.562: [GC 42017K->25213K(83008K), 0.0072254 secs]
104.750: [GC 41965K->26020K(83008K), 0.0073488 secs]
104.920: [GC 42838K->26445K(83008K), 0.0083546 secs]
105.101: [GC 43256K->26924K(83008K), 0.0081740 secs]
105.282: [GC 43818K->27352K(83008K), 0.0102340 secs]
105.605: [GC 44374K->27767K(83008K), 0.0094195 secs]
105.820: [GC 44555K->31129K(83008K), 0.0257201 secs]
106.042: [GC 48108K->31553K(83008K), 0.0077184 secs]
106.274: [GC 48215K->31651K(83008K), 0.0118860 secs]
106.598: [GC 48327K->32002K(83008K), 0.0180546 secs]
106.798: [GC 49026K->31268K(83008K), 0.0074742 secs]
134.635: [Full GC 43648K->15426K(83008K), 0.2026776 secs]
176.413: [GC 32450K->30845K(83008K), 0.0644692 secs]
209.403: [GC 47869K->44429K(83008K), 0.0496220 secs]
209.453: [GC 44429K(83008K), 0.0053285 secs]
209.582: [GC 44552K(83008K), 0.0519922 secs]
255.379: [GC 40612K->37946K(83008K), 0.0664508 secs]
255.446: [GC 38203K(83008K), 0.0056331 secs]
255.548: [GC 38436K(83008K), 0.0226443 secs]
300.402: [GC 40234K->37471K(83008K), 0.0753305 secs]
300.479: [GC 37615K(83008K), 0.0054292 secs]
300.587: [GC 37618K(83008K), 0.0329039 secs]
346.394: [GC 41209K->38554K(83008K), 0.0810278 secs]
346.475: [GC 38708K(83008K), 0.0058339 secs]
346.588: [GC 38862K(83008K), 0.0346264 secs]
393.566: [GC 41395K->38380K(83008K), 0.0980848 secs]
393.667: [GC 38559K(83008K), 0.0074586 secs]
393.812: [GC 38738K(83008K), 0.0403555 secs]
438.420: [GC 41394K->38495K(83008K), 0.0800384 secs]
438.501: [GC 38657K(83008K), 0.0056199 secs]
438.614: [GC 38657K(83008K), 0.0452430 secs]
484.396: [GC 41491K->38651K(83008K), 0.0808162 secs]
484.477: [GC 38795K(83008K), 0.0058084 secs]
484.595: [GC 39272K(83008K), 0.0373322 secs]
529.428: [GC 41684K->38977K(83008K), 0.0806625 secs]
529.509: [GC 38977K(83008K), 0.0060210 secs]
529.618: [GC 39136K(83008K), 0.0371433 secs]
575.408: [GC 41892K->39112K(83008K), 0.0802541 secs]
575.489: [GC 39449K(83008K), 0.0056392 secs]
575.606: [GC 39616K(83008K), 0.0374681 secs]
620.447: [GC 41839K->39179K(83008K), 0.0822342 secs]
620.531: [GC 39179K(83008K), 0.0056331 secs]
620.636: [GC 39335K(83008K), 0.0385060 secs]
665.425: [GC 41923K->38918K(83008K), 0.0827154 secs]
665.509: [GC 39109K(83008K), 0.0054794 secs]
665.632: [GC 39301K(83008K), 0.0380224 secs]
710.453: [GC 41760K->38998K(83008K), 0.0812721 secs]
710.535: [GC 38998K(83008K), 0.0057121 secs]
710.641: [GC 39176K(83008K), 0.0399056 secs]
756.433: [GC 42058K->39301K(83008K), 0.0842528 secs]
756.518: [GC 39301K(83008K), 0.0059134 secs]
756.639: [GC 39630K(83008K), 0.0388565 secs]
802.422: [GC 42173K->39528K(83008K), 0.0827172 secs]
802.505: [GC 39528K(83008K), 0.0058042 secs]
802.619: [GC 40045K(83008K), 0.0389488 secs]
848.419: [GC 42259K->39613K(83008K), 0.0841246 secs]
848.505: [GC 39776K(83008K), 0.0058429 secs]
848.634: [GC 40119K(83008K), 0.0392061 secs]
893.451: [GC 42347K->39589K(83008K), 0.0925096 secs]
893.544: [GC 39774K(83008K), 0.0064356 secs]
893.666: [GC 39774K(83008K), 0.0387254 secs]
939.427: [GC 42425K->39644K(83008K), 0.0821818 secs]
939.510: [GC 39986K(83008K), 0.0056541 secs]
939.641: [GC 40153K(83008K), 0.0392494 secs]
984.436: [GC 42507K->39703K(83008K), 0.0839295 secs]
984.520: [GC 39869K(83008K), 0.0058293 secs]
984.643: [GC 40220K(83008K), 0.0393911 secs]
1030.433: [GC 42522K->39862K(83008K), 0.0831572 secs]
1030.517: [GC 40042K(83008K), 0.0061512 secs]
1030.631: [GC 40364K(83008K), 0.0267813 secs]
1075.465: [GC 42717K->39982K(83008K), 0.0847990 secs]
1075.552: [GC 39982K(83008K), 0.0057646 secs]
1075.669: [GC 40158K(83008K), 0.0391768 secs]
1121.468: [GC 42736K->40079K(83008K), 0.0844374 secs]
1121.554: [GC 40239K(83008K), 0.0059135 secs]
1121.673: [GC 40239K(83008K), 0.0404733 secs]
1167.451: [GC 42888K->40154K(83008K), 0.0849060 secs]
1167.538: [GC 40495K(83008K), 0.0057948 secs]
1167.659: [GC 40671K(83008K), 0.0400629 secs]
1393.515: [GC 42922K->39729K(83008K), 0.0793741 secs]
1393.595: [GC 39806K(83008K), 0.0053698 secs]
1393.706: [GC 39810K(83008K), 0.0378004 secs]
1742.704: [GC 42700K->40027K(83008K), 0.0791392 secs]
1742.783: [GC 40027K(83008K), 0.0057565 secs]
1742.895: [GC 40195K(83008K), 0.0262485 secs]
2122.403: [Full GC 42212K->14858K(83008K), 0.1991597 secs]
2123.081: [GC 31882K->20689K(83008K), 0.0069142 secs]
2127.119: [Full GC 31946K->9175K(83008K), 0.0785947 secs]
