2.120: [GC 183552K->14103K(370304K), 0.0200446 secs]
4.221: [GC 197655K->29084K(370304K), 0.0367436 secs]
6.201: [GC 212636K->35819K(370304K), 0.0097224 secs]
8.810: [GC 219371K->55397K(370304K), 0.0602958 secs]
50.081: [GC 238949K->113981K(370304K), 0.3233492 secs]
1218.614: [GC 297533K->105176K(370304K), 0.0075798 secs]
2175.803: [GC 288728K->106583K(370304K), 0.0053295 secs]
4978.102: [GC 290135K->105337K(370304K), 0.0055545 secs]
7723.694: [GC 288889K->106144K(370304K), 0.0080122 secs]
10476.523: [GC 289696K->106244K(370304K), 0.0054337 secs]
13208.035: [GC 289796K->111149K(370304K), 0.0208092 secs]
13208.056: [GC 111946K(370304K), 0.0058267 secs]
13208.133: [GC 112104K(370304K), 0.0050268 secs]
15941.462: [GC 248762K->58881K(370304K), 0.0031977 secs]
18669.184: [GC 242433K->57004K(370304K), 0.0019974 secs]
21398.233: [GC 240556K->56515K(370304K), 0.0023012 secs]
24115.582: [GC 240067K->56473K(370304K), 0.0021504 secs]
26833.652: [GC 240025K->56463K(370304K), 0.0018644 secs]
29377.702: [GC 240015K->58027K(370304K), 0.0036224 secs]
32101.533: [GC 241579K->57578K(370304K), 0.0021271 secs]
34817.064: [GC 241122K->56837K(370304K), 0.0022969 secs]
37537.532: [GC 240389K->56758K(370304K), 0.0026046 secs]
40253.652: [GC 240310K->56797K(370304K), 0.0025971 secs]
42968.464: [GC 240349K->56768K(370304K), 0.0025544 secs]
45681.372: [GC 240320K->56842K(370304K), 0.0027682 secs]
48393.652: [GC 240394K->56663K(370304K), 0.0019535 secs]
51093.652: [GC 240215K->56630K(370304K), 0.0023067 secs]
53804.382: [GC 240182K->56631K(370304K), 0.0026046 secs]
56511.400: [GC 240183K->56681K(370304K), 0.0021899 secs]
59212.529: [GC 240233K->56723K(370304K), 0.0019654 secs]
61573.652: [GC 240275K->57350K(370304K), 0.0030055 secs]
63522.233: [GC 240902K->57502K(370304K), 0.0028470 secs]
64783.753: [GC 241054K->58857K(370304K), 0.0033816 secs]
66361.906: [GC 242409K->57815K(370304K), 0.0030018 secs]
66631.110: [GC 241208K->59551K(370304K), 0.0028638 secs]
67530.743: [GC 242612K->59106K(370304K), 0.0027076 secs]
68103.550: [GC 242410K->61141K(370304K), 0.0028595 secs]
68868.368: [GC 244693K->58361K(370304K), 0.0026416 secs]
69945.854: [GC 241902K->60546K(370304K), 0.0040518 secs]
71359.064: [GC 244098K->59384K(370304K), 0.0028321 secs]
73043.053: [GC 242936K->59483K(370304K), 0.0040487 secs]
75828.563: [GC 243035K->59248K(370304K), 0.0039743 secs]
78000.362: [GC 242800K->59495K(370304K), 0.0035827 secs]
80287.843: [GC 243047K->58927K(370304K), 0.0026852 secs]
82624.676: [GC 242479K->58213K(370304K), 0.0022082 secs]
85154.142: [GC 241765K->58223K(370304K), 0.0023242 secs]
