62134.787: [GC 62134.787: [ParNew: 2412343K->156892K(2534400K), 0.1512710 secs] 7042716K->4797945K(10982400K), 0.1519400 secs] [Times: user=0.72 sys=0.01, real=0.15 secs] 
62146.152: [GC 62146.153: [ParNew: 2409692K->85890K(2534400K), 0.1156140 secs] 7050745K->4757417K(10982400K), 0.1162560 secs] [Times: user=0.64 sys=0.01, real=0.12 secs] 
62211.290: [GC 62211.292: [ParNew: 2338690K->281600K(2534400K), 0.1887300 secs] 7010217K->4993012K(10982400K), 0.1919850 secs] [Times: user=1.23 sys=0.01, real=0.19 secs] 
62245.279: [GC 62245.280: [ParNew: 2534400K->281600K(2534400K), 0.2891790 secs] 7245812K->5238844K(10982400K), 0.2919820 secs] [Times: user=1.89 sys=0.04, real=0.29 secs] 
62246.432: [GC 62246.434: [ParNew: 2534400K->229657K(2534400K), 0.1863940 secs] 7491644K->5365897K(10982400K), 0.1898330 secs] [Times: user=1.39 sys=0.04, real=0.19 secs] 
62246.630: [GC [1 CMS-initial-mark: 5136239K(8448000K)] 5366202K(10982400K), 0.1810170 secs] [Times: user=0.18 sys=0.00, real=0.18 secs] 
62248.167: [GC 62248.168: [ParNew: 2482457K->184845K(2534400K), 0.0962810 secs] 7618697K->5321085K(10982400K), 0.0984730 secs] [Times: user=0.83 sys=0.01, real=0.10 secs] 
62249.276: [GC 62249.278: [ParNew: 2437645K->177630K(2534400K), 0.1463770 secs] 7573885K->5361208K(10982400K), 0.1490930 secs] [Times: user=1.14 sys=0.01, real=0.15 secs] 
62250.262: [GC 62250.263: [ParNew: 2430645K->138057K(2534400K), 0.0711710 secs] 7614224K->5321636K(10982400K), 0.0730590 secs] [Times: user=0.66 sys=0.00, real=0.07 secs] 
62250.345: [GC 62250.346: [ParNew: 142576K->141259K(2534400K), 0.0305890 secs] 5326155K->5324838K(10982400K), 0.0330820 secs] [Times: user=0.63 sys=0.01, real=0.04 secs] 
62251.954: [GC 62251.955: [ParNew: 2394059K->120891K(2534400K), 0.0909890 secs] 7577638K->5333186K(10982400K), 0.0927580 secs] [Times: user=0.84 sys=0.01, real=0.09 secs] 
62253.105: [GC[YG occupancy: 1655877 K (2534400 K)]62253.106: [Rescan (parallel) , 0.4786020 secs]62253.585: [weak refs processing, 0.1175450 secs] [1 CMS-remark: 5212294K(8448000K)] 6868172K(10982400K), 0.5986920 secs] [Times: user=9.76 sys=0.03, real=0.60 secs] 
62254.196: [GC 62254.197: [ParNew: 2373691K->79405K(2534400K), 0.0564290 secs] 7565102K->5288983K(10982400K), 0.0582820 secs] [Times: user=0.61 sys=0.00, real=0.06 secs] 
62256.718: [GC 62256.719: [ParNew: 2332205K->81932K(2534400K), 0.0593760 secs] 7352579K->5117221K(10982400K), 0.0613030 secs] [Times: user=0.71 sys=0.01, real=0.07 secs] 
