3.481: [Full GC (System) 3.481: [CMS: 0K->4553K(8448000K), 0.1007870 secs] 225280K->4553K(10982400K), [CMS Perm : 14222K->14211K(21248K)], 0.1013270 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
7.037: [GC 7.037: [ParNew: 2252800K->14226K(2534400K), 0.0170090 secs] 2257353K->18779K(10982400K), 0.0171130 secs] [Times: user=0.12 sys=0.11, real=0.02 secs] 
16.146: [GC 16.146: [ParNew: 2267026K->155074K(2534400K), 0.0417030 secs] 2271579K->159627K(10982400K), 0.0418620 secs] [Times: user=0.56 sys=0.10, real=0.04 secs] 
23.337: [GC 23.337: [ParNew: 2407874K->281599K(2534400K), 0.1265490 secs] 2412427K->300920K(10982400K), 0.1267810 secs] [Times: user=1.19 sys=0.09, real=0.13 secs] 
27.939: [GC 27.939: [ParNew: 2534399K->230950K(2534400K), 0.1527690 secs] 2553720K->390817K(10982400K), 0.1529630 secs] [Times: user=1.05 sys=0.08, real=0.15 secs] 
33.431: [GC 33.431: [ParNew: 2483750K->281600K(2534400K), 0.0723580 secs] 2643617K->446802K(10982400K), 0.0725610 secs] [Times: user=1.13 sys=0.01, real=0.08 secs] 
41.036: [GC 41.036: [ParNew: 2534400K->281600K(2534400K), 0.1885440 secs] 2699602K->566405K(10982400K), 0.1888090 secs] [Times: user=2.46 sys=0.06, real=0.18 secs] 
48.686: [GC 48.687: [ParNew: 2534400K->281600K(2534400K), 0.2571600 secs] 2819205K->728737K(10982400K), 0.2574470 secs] [Times: user=3.87 sys=0.06, real=0.25 secs] 
56.851: [GC 56.851: [ParNew: 2534400K->281600K(2534400K), 0.2938120 secs] 2981537K->1028429K(10982400K), 0.2940220 secs] [Times: user=3.50 sys=0.10, real=0.29 secs] 
63.297: [GC 63.297: [ParNew: 2534400K->173192K(2534400K), 0.1813510 secs] 3281229K->1080263K(10982400K), 0.1816430 secs] [Times: user=2.40 sys=0.05, real=0.19 secs] 
72.411: [GC 72.411: [ParNew: 2425992K->281600K(2534400K), 0.1179100 secs] 3333063K->1201666K(10982400K), 0.1181560 secs] [Times: user=2.19 sys=0.00, real=0.12 secs] 
78.689: [GC 78.690: [ParNew: 2534400K->233969K(2534400K), 0.2466360 secs] 3454466K->1434697K(10982400K), 0.2468810 secs] [Times: user=2.70 sys=0.09, real=0.25 secs] 
83.780: [GC 83.780: [ParNew: 2486769K->113151K(2534400K), 0.0340250 secs] 3687497K->1313879K(10982400K), 0.0342850 secs] [Times: user=0.50 sys=0.00, real=0.04 secs] 
88.358: [GC 88.358: [ParNew: 2365951K->167827K(2534400K), 0.0368680 secs] 3566679K->1368555K(10982400K), 0.0371090 secs] [Times: user=0.63 sys=0.00, real=0.04 secs] 
92.952: [GC 92.952: [ParNew: 2420627K->213465K(2534400K), 0.0416670 secs] 3621355K->1414194K(10982400K), 0.0419220 secs] [Times: user=0.74 sys=0.01, real=0.04 secs] 
97.416: [GC 97.417: [ParNew: 2466265K->191549K(2534400K), 0.1049970 secs] 3666994K->1439700K(10982400K), 0.1052950 secs] [Times: user=1.35 sys=0.02, real=0.10 secs] 
103.356: [GC 103.356: [ParNew: 2444349K->188603K(2534400K), 0.0807890 secs] 3692500K->1467841K(10982400K), 0.0810620 secs] [Times: user=1.40 sys=0.00, real=0.08 secs] 
108.932: [GC 108.932: [ParNew: 2441403K->199509K(2534400K), 0.0799110 secs] 3720641K->1509879K(10982400K), 0.0801370 secs] [Times: user=1.32 sys=0.01, real=0.08 secs] 
