2.053: [Full GC 2.053: [CMS: 0K->5234K(6815744K), 0.1951350 secs] 528904K->5234K(8231360K), [CMS Perm : 21247K->21210K(21248K)], 0.1953260 secs] [Times: user=0.14 sys=0.06, real=0.20 secs] 
5.296: [Full GC 5.296: [CMS: 5234K->7376K(6815744K), 0.2020680 secs] 394026K->7376K(8231360K), [CMS Perm : 35250K->34936K(35352K)], 0.2023540 secs] [Times: user=0.20 sys=0.00, real=0.21 secs] 
22.927: [GC 22.927: [ParNew: 1258368K->134602K(1415616K), 0.0832250 secs] 1265744K->141978K(8231360K), 0.0834630 secs] [Times: user=0.89 sys=0.36, real=0.09 secs] 
44.976: [GC 44.977: [ParNew: 1392970K->157248K(1415616K), 0.5757240 secs] 1400346K->319212K(8231360K), 0.5759280 secs] [Times: user=2.83 sys=0.56, real=0.57 secs] 
142.286: [GC 142.287: [ParNew: 1415616K->157248K(1415616K), 0.6162580 secs] 1577580K->479470K(8231360K), 0.6164810 secs] [Times: user=1.99 sys=0.51, real=0.62 secs] 
143.748: [GC 143.748: [ParNew: 1415616K->73092K(1415616K), 0.0173320 secs] 1737838K->395314K(8231360K), 0.0175310 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
144.537: [GC 144.537: [ParNew: 1331460K->92635K(1415616K), 0.0217280 secs] 1653682K->414857K(8231360K), 0.0219270 secs] [Times: user=0.32 sys=0.00, real=0.02 secs] 
145.392: [GC 145.392: [ParNew: 1351003K->126623K(1415616K), 0.0259870 secs] 1673225K->448845K(8231360K), 0.0261890 secs] [Times: user=0.40 sys=0.00, real=0.03 secs] 
146.262: [GC 146.262: [ParNew: 1384991K->130470K(1415616K), 0.0976880 secs] 1707213K->476518K(8231360K), 0.0978880 secs] [Times: user=0.65 sys=0.07, real=0.10 secs] 
147.161: [GC 147.161: [ParNew: 1388838K->141248K(1415616K), 0.0894500 secs] 1734886K->509612K(8231360K), 0.0896480 secs] [Times: user=0.67 sys=0.07, real=0.09 secs] 
148.041: [GC 148.041: [ParNew: 1399616K->131885K(1415616K), 0.0885700 secs] 1767980K->521653K(8231360K), 0.0887650 secs] [Times: user=0.63 sys=0.05, real=0.09 secs] 
149.017: [GC 149.017: [ParNew: 1390253K->127843K(1415616K), 0.0821240 secs] 1780021K->538793K(8231360K), 0.0823250 secs] [Times: user=0.62 sys=0.06, real=0.08 secs] 
149.867: [GC 149.867: [ParNew: 1386211K->115613K(1415616K), 0.0879190 secs] 1797161K->548252K(8231360K), 0.0881260 secs] [Times: user=0.60 sys=0.07, real=0.09 secs] 
150.719: [GC 150.719: [ParNew: 1373981K->108821K(1415616K), 0.0885280 secs] 1806620K->564204K(8231360K), 0.0887280 secs] [Times: user=0.66 sys=0.07, real=0.09 secs] 
152.841: [GC 152.841: [ParNew: 1367189K->150948K(1415616K), 0.0271420 secs] 1822572K->606331K(8231360K), 0.0273440 secs] [Times: user=0.42 sys=0.00, real=0.03 secs] 
153.613: [GC 153.613: [ParNew: 1409316K->117338K(1415616K), 0.1006380 secs] 1864699K->595022K(8231360K), 0.1008350 secs] [Times: user=0.63 sys=0.07, real=0.11 secs] 
154.466: [GC 154.466: [ParNew: 1375706K->100663K(1415616K), 0.0782620 secs] 1853390K->598135K(8231360K), 0.0784620 secs] [Times: user=0.64 sys=0.05, real=0.08 secs] 
165.986: [GC 165.987: [ParNew: 1359031K->132984K(1415616K), 0.0230340 secs] 1856503K->630455K(8231360K), 0.0232370 secs] [Times: user=0.35 sys=0.00, real=0.02 secs] 
176.588: [GC 176.589: [ParNew: 1391352K->102025K(1415616K), 0.0543170 secs] 1888823K->612584K(8231360K), 0.0545150 secs] [Times: user=0.51 sys=0.03, real=0.05 secs] 
181.040: [GC 181.041: [ParNew: 1360393K->122283K(1415616K), 0.0566510 secs] 1870952K->646247K(8231360K), 0.0568530 secs] [Times: user=0.51 sys=0.04, real=0.05 secs] 
183.199: [GC 183.199: [ParNew: 1380651K->98182K(1415616K), 0.0534640 secs] 1904615K->635400K(8231360K), 0.0536570 secs] [Times: user=0.43 sys=0.04, real=0.06 secs] 
185.978: [GC 185.978: [ParNew: 1356550K->129371K(1415616K), 0.0311760 secs] 1893768K->666590K(8231360K), 0.0313700 secs] [Times: user=0.49 sys=0.00, real=0.03 secs] 
189.782: [GC 189.782: [ParNew: 1387739K->97734K(1415616K), 0.0363510 secs] 1924958K->634952K(8231360K), 0.0365480 secs] [Times: user=0.57 sys=0.00, real=0.03 secs] 
190.785: [GC 190.785: [ParNew: 1356102K->107580K(1415616K), 0.0635240 secs] 1893320K->657523K(8231360K), 0.0637130 secs] [Times: user=0.67 sys=0.03, real=0.06 secs] 
191.967: [GC 191.967: [ParNew: 1365948K->140121K(1415616K), 0.0477370 secs] 1915891K->690065K(8231360K), 0.0479470 secs] [Times: user=0.74 sys=0.00, real=0.05 secs] 
192.780: [GC 192.780: [ParNew: 1398489K->121910K(1415616K), 0.0756150 secs] 1948433K->684613K(8231360K), 0.0758110 secs] [Times: user=0.84 sys=0.04, real=0.08 secs] 
194.256: [GC 194.256: [ParNew: 1380278K->112662K(1415616K), 0.0573470 secs] 1942981K->686233K(8231360K), 0.0575410 secs] [Times: user=0.65 sys=0.04, real=0.06 secs] 
198.383: [GC 198.383: [ParNew: 1371030K->111221K(1415616K), 0.0637100 secs] 1944601K->698641K(8231360K), 0.0638950 secs] [Times: user=0.61 sys=0.05, real=0.06 secs] 
202.834: [GC 202.834: [ParNew: 1369589K->127444K(1415616K), 0.0288060 secs] 1957009K->714864K(8231360K), 0.0290120 secs] [Times: user=0.43 sys=0.00, real=0.02 secs] 
207.178: [GC 207.178: [ParNew: 1385812K->156535K(1415616K), 0.0408700 secs] 1973232K->751578K(8231360K), 0.0410670 secs] [Times: user=0.54 sys=0.02, real=0.04 secs] 
210.795: [GC 210.795: [ParNew: 1414903K->104316K(1415616K), 0.0455860 secs] 2009946K->708836K(8231360K), 0.0457860 secs] [Times: user=0.56 sys=0.02, real=0.04 secs] 
211.401: [GC 211.401: [ParNew: 1362684K->96790K(1415616K), 0.0764690 secs] 1967204K->720398K(8231360K), 0.0766690 secs] [Times: user=0.51 sys=0.05, real=0.08 secs] 
211.872: [GC 211.872: [ParNew: 1355158K->109856K(1415616K), 0.0213990 secs] 1978766K->733464K(8231360K), 0.0215990 secs] [Times: user=0.32 sys=0.01, real=0.02 secs] 
212.306: [GC 212.306: [ParNew: 1368224K->109566K(1415616K), 0.0223280 secs] 1991832K->733174K(8231360K), 0.0225300 secs] [Times: user=0.34 sys=0.00, real=0.02 secs] 
212.724: [GC 212.724: [ParNew: 1367934K->114797K(1415616K), 0.0232770 secs] 1991542K->738405K(8231360K), 0.0234840 secs] [Times: user=0.36 sys=0.01, real=0.03 secs] 
213.180: [GC 213.180: [ParNew: 1373165K->114862K(1415616K), 0.0225950 secs] 1996773K->738470K(8231360K), 0.0227930 secs] [Times: user=0.36 sys=0.00, real=0.02 secs] 
215.733: [GC 215.733: [ParNew: 1373230K->150755K(1415616K), 0.0260050 secs] 1996838K->774363K(8231360K), 0.0261970 secs] [Times: user=0.40 sys=0.00, real=0.03 secs] 
226.581: [GC 226.581: [ParNew: 1409123K->103878K(1415616K), 0.0547380 secs] 2032731K->740939K(8231360K), 0.0549420 secs] [Times: user=0.45 sys=0.04, real=0.05 secs] 
231.208: [GC 231.208: [ParNew: 1362246K->130240K(1415616K), 0.0284620 secs] 1999307K->767301K(8231360K), 0.0286620 secs] [Times: user=0.44 sys=0.00, real=0.02 secs] 
234.987: [GC 234.987: [ParNew: 1388608K->143074K(1415616K), 0.0474410 secs] 2025669K->789069K(8231360K), 0.0476980 secs] [Times: user=0.57 sys=0.02, real=0.05 secs] 
238.396: [GC 238.396: [ParNew: 1401442K->107179K(1415616K), 0.0482640 secs] 2047437K->761070K(8231360K), 0.0484580 secs] [Times: user=0.63 sys=0.01, real=0.05 secs] 
242.607: [GC 242.607: [ParNew: 1365547K->105822K(1415616K), 0.0939970 secs] 2019438K->783835K(8231360K), 0.0942070 secs] [Times: user=0.73 sys=0.06, real=0.10 secs] 
246.228: [GC 246.228: [ParNew: 1364190K->130252K(1415616K), 0.0363960 secs] 2042203K->808265K(8231360K), 0.0365930 secs] [Times: user=0.56 sys=0.00, real=0.04 secs] 
251.592: [GC 251.592: [ParNew: 1388620K->112972K(1415616K), 0.0384260 secs] 2066633K->792005K(8231360K), 0.0386250 secs] [Times: user=0.59 sys=0.00, real=0.03 secs] 
258.639: [GC 258.639: [ParNew: 1371340K->107208K(1415616K), 0.0374020 secs] 2050373K->786241K(8231360K), 0.0375990 secs] [Times: user=0.60 sys=0.00, real=0.04 secs] 
259.813: [GC 259.813: [ParNew: 1365576K->110342K(1415616K), 0.0341350 secs] 2044609K->789375K(8231360K), 0.0343280 secs] [Times: user=0.53 sys=0.00, real=0.03 secs] 
261.220: [GC 261.220: [ParNew: 1368710K->131023K(1415616K), 0.0394060 secs] 2047743K->810056K(8231360K), 0.0396070 secs] [Times: user=0.61 sys=0.00, real=0.04 secs] 
266.805: [GC 266.805: [ParNew: 1389391K->100906K(1415616K), 0.0591900 secs] 2068424K->790618K(8231360K), 0.0593890 secs] [Times: user=0.74 sys=0.02, real=0.06 secs] 
269.567: [GC 269.567: [ParNew: 1359274K->112936K(1415616K), 0.0404370 secs] 2048986K->802648K(8231360K), 0.0406340 secs] [Times: user=0.63 sys=0.00, real=0.04 secs] 
271.239: [GC 271.239: [ParNew: 1371304K->99931K(1415616K), 0.0349330 secs] 2061016K->789643K(8231360K), 0.0351490 secs] [Times: user=0.54 sys=0.00, real=0.03 secs] 
272.882: [GC 272.882: [ParNew: 1358299K->103460K(1415616K), 0.0392590 secs] 2048011K->793173K(8231360K), 0.0394650 secs] [Times: user=0.61 sys=0.00, real=0.04 secs] 
280.583: [GC 280.583: [ParNew: 1361828K->118437K(1415616K), 0.0414360 secs] 2051541K->808149K(8231360K), 0.0416320 secs] [Times: user=0.65 sys=0.00, real=0.04 secs] 
285.151: [GC 285.151: [ParNew: 1376805K->110854K(1415616K), 0.0445520 secs] 2066517K->800567K(8231360K), 0.0447480 secs] [Times: user=0.69 sys=0.00, real=0.04 secs] 
289.886: [GC 289.886: [ParNew: 1369222K->90583K(1415616K), 0.0684770 secs] 2058935K->796675K(8231360K), 0.0686740 secs] [Times: user=0.64 sys=0.05, real=0.07 secs] 
296.578: [GC 296.578: [ParNew: 1348951K->112443K(1415616K), 0.0347500 secs] 2055043K->818535K(8231360K), 0.0349480 secs] [Times: user=0.55 sys=0.01, real=0.04 secs] 
301.030: [GC 301.030: [ParNew: 1370811K->100834K(1415616K), 0.0373770 secs] 2076903K->806926K(8231360K), 0.0375760 secs] [Times: user=0.57 sys=0.01, real=0.04 secs] 
303.600: [GC 303.600: [ParNew: 1359202K->109334K(1415616K), 0.0389640 secs] 2065294K->815426K(8231360K), 0.0391750 secs] [Times: user=0.60 sys=0.01, real=0.04 secs] 
