2014-11-29T06:23:55.892+0000: 126.838: [GC 126.838: [ParNew: 5033216K->74618K(5662336K), 0.1352100 secs] 5033216K->74618K(16148096K), 0.1353170 secs] [Times: user=0.36 sys=0.03, real=0.13 secs] 
2014-11-29T06:24:12.369+0000: 143.315: [GC 143.315: [ParNew: 5107834K->135029K(5662336K), 0.2096140 secs] 5107834K->135029K(16148096K), 0.2097100 secs] [Times: user=0.65 sys=0.05, real=0.21 secs] 
2014-11-29T06:25:10.930+0000: 201.876: [GC 201.876: [ParNew: 5168245K->210456K(5662336K), 0.1849960 secs] 5168245K->210456K(16148096K), 0.1851840 secs] [Times: user=0.66 sys=0.04, real=0.18 secs] 
2014-11-29T06:27:11.694+0000: 322.640: [GC 322.640: [ParNew: 5243672K->333096K(5662336K), 0.2838530 secs] 5243672K->333096K(16148096K), 0.2840800 secs] [Times: user=1.03 sys=0.06, real=0.29 secs] 
2014-11-29T06:29:09.903+0000: 440.849: [GC 440.849: [ParNew: 5366312K->340242K(5662336K), 0.3709870 secs] 5366312K->405623K(16148096K), 0.3712070 secs] [Times: user=1.30 sys=0.06, real=0.37 secs] 
2014-11-29T06:31:15.526+0000: 566.471: [GC 566.472: [ParNew: 5373458K->234073K(5662336K), 0.2612730 secs] 5438839K->338466K(16148096K), 0.2614870 secs] [Times: user=0.97 sys=0.02, real=0.26 secs] 
2014-11-29T06:33:27.627+0000: 698.573: [GC 698.574: [ParNew: 5267289K->215691K(5662336K), 0.2643720 secs] 5371682K->394865K(16148096K), 0.2645820 secs] [Times: user=0.93 sys=0.02, real=0.26 secs] 
2014-11-29T06:35:51.552+0000: 842.498: [GC 842.498: [ParNew: 5248907K->163841K(5662336K), 0.1943130 secs] 5428081K->387558K(16148096K), 0.1945380 secs] [Times: user=0.72 sys=0.02, real=0.20 secs] 
2014-11-29T06:38:11.046+0000: 981.992: [GC 981.992: [ParNew: 5197057K->120873K(5662336K), 0.1746330 secs] 5420774K->360999K(16148096K), 0.1748420 secs] [Times: user=0.67 sys=0.01, real=0.17 secs] 
2014-11-29T06:40:25.383+0000: 1116.329: [GC 1116.329: [ParNew: 5154089K->102709K(5662336K), 0.1711600 secs] 5394215K->351872K(16148096K), 0.1713900 secs] [Times: user=0.71 sys=0.01, real=0.17 secs] 
2014-11-29T06:42:46.490+0000: 1257.436: [GC 1257.436: [ParNew: 5135925K->95932K(5662336K), 0.1584790 secs] 5385088K->355173K(16148096K), 0.1587010 secs] [Times: user=0.61 sys=0.01, real=0.15 secs] 
2014-11-29T06:45:09.218+0000: 1400.164: [GC 1400.164: [ParNew: 5129148K->113929K(5662336K), 0.1669570 secs] 5388389K->378569K(16148096K), 0.1671670 secs] [Times: user=0.65 sys=0.00, real=0.17 secs] 
2014-11-29T06:46:50.258+0000: 1501.204: [GC 1501.205: [ParNew: 5147145K->160577K(5662336K), 0.1597790 secs] 5411785K->431597K(16148096K), 0.1600090 secs] [Times: user=0.61 sys=0.00, real=0.16 secs] 
2014-11-29T06:48:18.517+0000: 1589.463: [GC 1589.463: [ParNew: 5193793K->168102K(5662336K), 0.1576450 secs] 5464813K->444648K(16148096K), 0.1578620 secs] [Times: user=0.61 sys=0.01, real=0.16 secs] 
2014-11-29T06:50:34.432+0000: 1725.377: [GC 1725.378: [ParNew: 5200902K->174299K(5662336K), 0.1761400 secs] 5477448K->456438K(16148096K), 0.1763750 secs] [Times: user=0.68 sys=0.00, real=0.18 secs] 
2014-11-29T06:52:36.536+0000: 1847.482: [GC 1847.482: [ParNew: 5207515K->133938K(5662336K), 0.1809430 secs] 5489654K->422872K(16148096K), 0.1811900 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
2014-11-29T06:54:38.697+0000: 1969.643: [GC 1969.643: [ParNew: 5167154K->156971K(5662336K), 0.1798010 secs] 5456088K->454477K(16148096K), 0.1800470 secs] [Times: user=0.68 sys=0.00, real=0.18 secs] 
2014-11-29T06:57:00.191+0000: 2111.137: [GC 2111.137: [ParNew: 5190187K->135832K(5662336K), 0.1685900 secs] 5487693K->443971K(16148096K), 0.1688330 secs] [Times: user=0.65 sys=0.01, real=0.17 secs] 
2014-11-29T06:59:10.277+0000: 2241.223: [GC 2241.223: [ParNew: 5169048K->158095K(5662336K), 0.1299380 secs] 5477187K->473344K(16148096K), 0.1301470 secs] [Times: user=0.50 sys=0.00, real=0.13 secs] 
2014-11-29T07:01:00.525+0000: 2351.471: [GC 2351.471: [ParNew: 5191311K->156456K(5662336K), 0.1757680 secs] 5506560K->479583K(16148096K), 0.1759870 secs] [Times: user=0.68 sys=0.00, real=0.18 secs] 
2014-11-29T07:02:59.490+0000: 2470.436: [GC 2470.436: [ParNew: 5189672K->129508K(5662336K), 0.1838720 secs] 5512799K->466209K(16148096K), 0.1841140 secs] [Times: user=0.70 sys=0.00, real=0.19 secs] 
2014-11-29T07:05:11.507+0000: 2602.453: [GC 2602.453: [ParNew: 5162724K->123526K(5662336K), 0.1777590 secs] 5499425K->469099K(16148096K), 0.1780050 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
2014-11-29T07:07:22.157+0000: 2733.103: [GC 2733.103: [ParNew: 5156742K->124172K(5662336K), 0.1861970 secs] 5502315K->477849K(16148096K), 0.1864370 secs] [Times: user=0.68 sys=0.00, real=0.19 secs] 
2014-11-29T07:09:47.244+0000: 2878.190: [GC 2878.190: [ParNew: 5157388K->117886K(5662336K), 0.1731960 secs] 5511065K->479355K(16148096K), 0.1734450 secs] [Times: user=0.66 sys=0.01, real=0.17 secs] 
2014-11-29T07:12:12.385+0000: 3023.331: [GC 3023.331: [ParNew: 5151102K->115022K(5662336K), 0.1686630 secs] 5512571K->483894K(16148096K), 0.1688990 secs] [Times: user=0.65 sys=0.00, real=0.17 secs] 
