0.915: [GC 16256K->8645K(58752K), 0.0890850 secs]
1.267: [GC 24901K->15325K(58752K), 0.0296500 secs]
1.533: [GC 31581K->22209K(58752K), 0.0257630 secs]
1.801: [GC 38465K->29429K(58752K), 0.0526590 secs]
1.855: [GC 29798K(58752K), 0.0031310 secs]
2.118: [GC 45685K->36537K(58752K), 0.0361750 secs]
2.299: [GC 45489K(58752K), 0.0164230 secs]
2.419: [GC 46681K->37612K(65644K), 0.0465690 secs]
2.473: [GC 38304K(65644K), 0.0039610 secs]
2.695: [GC 53868K->45225K(65644K), 0.0358360 secs]
2.876: [GC 58193K(65644K), 0.0074000 secs]
2.908: [GC 52947K->44380K(65644K), 0.0310160 secs]
3.160: [GC 60612K->49495K(88864K), 0.0272000 secs]
3.188: [GC 49574K(88864K), 0.0031320 secs]
3.224: [GC 50147K(88864K), 0.0019180 secs]
9.270: [GC 31402K->21209K(88864K), 0.1222720 secs]
9.614: [GC 37465K->28266K(88864K), 0.0788400 secs]
9.928: [GC 44522K->35518K(88864K), 0.0484480 secs]
10.225: [GC 51774K->43123K(88864K), 0.0721830 secs]
10.552: [GC 59379K->50700K(88864K), 0.0940480 secs]
10.850: [GC 66956K->58467K(88864K), 0.0585330 secs]
10.919: [GC 59385K(88864K), 0.0058650 secs]
11.086: [GC 74723K->66140K(88864K), 0.0568160 secs]
11.300: [GC 82396K->73923K(91168K), 0.0982080 secs]
11.759: [GC 89726K(91168K), 0.0133370 secs]
11.807: [GC 75648K->62803K(91168K), 0.0300810 secs]
18.682: [GC 64937K->55152K(96072K), 0.0857060 secs]
18.897: [GC 71408K->61415K(96072K), 0.0487420 secs]
19.060: [GC 77671K->67821K(96072K), 0.0409210 secs]
19.108: [GC 68917K(96072K), 0.0042450 secs]
19.263: [GC 84077K->74508K(96072K), 0.0471770 secs]
19.462: [GC 90764K->81388K(98376K), 0.0492020 secs]
19.658: [GC 97644K->88093K(104904K), 0.0548820 secs]
19.905: [GC 104349K->93812K(110856K), 0.0479180 secs]
20.346: [GC 110068K->98199K(115272K), 0.0367920 secs]
20.387: [GC 98563K(115272K), 0.0150460 secs]
21.674: [GC 65031K->49813K(115272K), 0.0343080 secs]
26.868: [GC 66069K->57119K(115272K), 0.0970560 secs]
27.082: [GC 73375K->63453K(115272K), 0.0463030 secs]
27.231: [GC 79709K->70042K(115272K), 0.0209640 secs]
27.393: [GC 86298K->76317K(115272K), 0.0269990 secs]
27.421: [GC 76547K(115272K), 0.0020940 secs]
27.577: [GC 92573K->82457K(115272K), 0.0365000 secs]
27.687: [GC 90830K(115272K), 0.0051030 secs]
27.793: [GC 44122K->33561K(115272K), 0.0297080 secs]
28.087: [GC 49817K->38464K(115272K), 0.0224200 secs]
28.570: [GC 54720K->42392K(115272K), 0.0314110 secs]
37.770: [GC 58648K->42561K(115272K), 0.0110950 secs]
38.041: [GC 58817K->50847K(115272K), 0.0522710 secs]
38.223: [GC 67103K->56829K(115272K), 0.0316820 secs]
38.399: [GC 73085K->63000K(115272K), 0.0494390 secs]
38.584: [GC 79256K->69762K(115272K), 0.0561110 secs]
38.759: [GC 86018K->76381K(115272K), 0.0270220 secs]
38.796: [GC 77892K(115272K), 0.0036810 secs]
38.982: [GC 92637K->82067K(115272K), 0.0231410 secs]
39.142: [GC 91103K(115272K), 0.0049180 secs]
39.290: [GC 43580K->32606K(115272K), 0.0415000 secs]
39.817: [GC 48862K->35942K(115272K), 0.0256990 secs]
46.915: [GC 52198K->36605K(115272K), 0.0151960 secs]
47.188: [GC 52861K->44958K(115272K), 0.0487860 secs]
47.369: [GC 61214K->50913K(115272K), 0.0186860 secs]
47.532: [GC 67169K->57100K(115272K), 0.0200930 secs]
47.703: [GC 73356K->63279K(115272K), 0.0216270 secs]
47.901: [GC 79535K->69225K(115272K), 0.0270420 secs]
48.139: [GC 85481K->74549K(115272K), 0.0414440 secs]
48.198: [GC 75490K(115272K), 0.0022030 secs]
48.469: [GC 90805K->79362K(115272K), 0.0391520 secs]
48.712: [GC 87732K(115272K), 0.0071600 secs]
49.067: [GC 41410K->27990K(115272K), 0.0286320 secs]
56.100: [GC 44246K->30491K(115272K), 0.0434710 secs]
56.369: [GC 46747K->37468K(115272K), 0.0395540 secs]
56.543: [GC 53724K->43523K(115272K), 0.0257890 secs]
56.705: [GC 59779K->49770K(115272K), 0.0225550 secs]
56.879: [GC 66026K->55869K(115272K), 0.0292170 secs]
57.077: [GC 72125K->61890K(115272K), 0.0262660 secs]
57.317: [GC 78146K->67443K(115272K), 0.0217910 secs]
57.662: [GC 83699K->72115K(115272K), 0.0240140 secs]
58.304: [GC 88371K->74581K(115272K), 0.0259540 secs]
64.294: [GC 90837K->79246K(115272K), 0.0416010 secs]
64.552: [GC 95502K->85616K(115272K), 0.0374290 secs]
64.591: [GC 85819K(115272K), 0.0018750 secs]
64.724: [GC 101872K->91409K(115272K), 0.0192740 secs]
64.837: [GC 102939K(115272K), 0.0075460 secs]
64.889: [GC 60145K->50289K(115272K), 0.0267790 secs]
65.063: [GC 43495K->33303K(115272K), 0.0219110 secs]
65.265: [GC 49559K->39174K(115272K), 0.0261030 secs]
65.524: [GC 55430K->44308K(115272K), 0.0240650 secs]
65.897: [GC 60564K->49133K(115272K), 0.0255690 secs]
66.692: [GC 65389K->51093K(115272K), 0.0157450 secs]
74.500: [GC 67349K->56755K(115272K), 0.0787330 secs]
74.728: [GC 73011K->63049K(115272K), 0.0350590 secs]
74.895: [GC 79305K->69023K(115272K), 0.0214870 secs]
75.057: [GC 85279K->75206K(115272K), 0.0337320 secs]
75.238: [GC 91462K->81266K(115272K), 0.0260560 secs]
75.267: [GC 81738K(115272K), 0.0015980 secs]
75.451: [GC 97522K->86960K(115272K), 0.0251400 secs]
75.575: [GC 95103K(115272K), 0.0043880 secs]
75.721: [GC 44869K->33772K(115272K), 0.0220940 secs]
76.123: [GC 50028K->37892K(115272K), 0.0222880 secs]
77.135: [GC 54148K->39410K(115272K), 0.0133520 secs]
82.690: [GC 55666K->46131K(115272K), 0.0538020 secs]
82.892: [GC 62387K->52017K(115272K), 0.0288540 secs]
83.057: [GC 68273K->58192K(115272K), 0.0247160 secs]
83.224: [GC 74448K->64791K(115272K), 0.0293700 secs]
83.406: [GC 81047K->70651K(115272K), 0.0280350 secs]
83.627: [GC 86907K->76300K(115272K), 0.0299780 secs]
83.899: [GC 92556K->81507K(115272K), 0.0249030 secs]
83.925: [GC 81823K(115272K), 0.0027160 secs]
84.336: [GC 97763K->85480K(115272K), 0.0411910 secs]
84.743: [GC 93685K(115272K), 0.0060030 secs]
85.891: [GC 39440K->23654K(115272K), 0.0187310 secs]
90.845: [GC 39910K->31329K(115272K), 0.0673210 secs]
91.032: [GC 47585K->37492K(115272K), 0.0351050 secs]
91.199: [GC 53748K->43658K(115272K), 0.0209700 secs]
91.367: [GC 59914K->49886K(115272K), 0.0399290 secs]
91.558: [GC 66142K->55943K(115272K), 0.0417370 secs]
91.775: [GC 72199K->61721K(115272K), 0.0251470 secs]
92.071: [GC 77977K->66518K(115272K), 0.0321580 secs]
