0.586: [Full GC 16896K->1759K(83008K), 0.0343993 secs]
0.631: [Full GC 1759K->1759K(83008K), 0.0262733 secs]
73.268: [GC 18783K->2657K(83008K), 0.0045864 secs]
86.753: [Full GC 18452K->8777K(83008K), 0.0738174 secs]
125.507: [GC 25801K->9581K(83008K), 0.0073451 secs]
125.519: [Full GC 9645K->3827K(83008K), 0.0596353 secs]
127.758: [GC 20851K->17773K(83008K), 0.0538664 secs]
128.082: [GC 32967K->30420K(83008K), 0.0289758 secs]
128.136: [GC 44921K->35204K(83008K), 0.0086814 secs]
128.147: [GC 41003K(83008K), 0.0032403 secs]
128.231: [GC 52228K->48663K(83008K), 0.0196506 secs]
128.364: [GC 65152K->62549K(83008K), 0.0290003 secs]
128.418: [GC 78031K->66917K(85956K), 0.0079153 secs]
128.434: [GC 76437K(85956K), 0.0040666 secs]
128.511: [GC 66876K->62286K(98856K), 0.0288978 secs]
128.541: [GC 62373K(98856K), 0.0034948 secs]
128.929: [GC 79310K->67369K(98856K), 0.0125782 secs]
129.063: [GC 81380K(98856K), 0.0058342 secs]
129.562: [GC 51357K->42097K(98856K), 0.0173211 secs]
129.627: [GC 57786K->50901K(98856K), 0.0162465 secs]
129.644: [GC 53443K(98856K), 0.0034806 secs]
129.747: [GC 67925K->63874K(98856K), 0.0273600 secs]
129.835: [GC 80849K->76947K(98856K), 0.0209371 secs]
129.865: [GC 93971K->87186K(105588K), 0.0125680 secs]
129.886: [GC 90796K(105588K), 0.0048223 secs]
129.973: [GC 91242K->87108K(140196K), 0.0245217 secs]
129.998: [GC 87234K(140196K), 0.0034879 secs]
130.076: [GC 102151K->98483K(140196K), 0.0242495 secs]
130.108: [GC 109871K->103403K(140196K), 0.0075522 secs]
130.174: [GC 120427K->115514K(140196K), 0.0172741 secs]
130.273: [GC 128992K(140196K), 0.0033120 secs]
130.550: [GC 97794K->85718K(150236K), 0.0138840 secs]
130.605: [GC 100992K->94170K(150236K), 0.0152137 secs]
130.621: [GC 96777K(150236K), 0.0023276 secs]
131.117: [GC 110288K->96966K(150236K), 0.0089918 secs]
131.627: [GC 113984K->99138K(150236K), 0.0093180 secs]
131.645: [GC 110151K(150236K), 0.0024462 secs]
131.737: [GC 81717K->70886K(150236K), 0.0205721 secs]
131.850: [GC 87910K->75479K(150236K), 0.0102234 secs]
131.948: [GC 92503K->91920K(150236K), 0.0274186 secs]
131.976: [GC 92100K(150236K), 0.0033603 secs]
132.028: [GC 105034K->101690K(150236K), 0.0167498 secs]
132.052: [GC 112962K->106154K(150236K), 0.0059490 secs]
132.141: [GC 123178K->119099K(150236K), 0.0301224 secs]
132.254: [GC 135819K->133018K(151196K), 0.0327314 secs]
132.299: [GC 141840K(151196K), 0.0069711 secs]
132.314: [GC 147020K->136009K(154720K), 0.0075886 secs]
132.397: [GC 139556K->134847K(220732K), 0.0193699 secs]
132.417: [GC 134939K(220732K), 0.0035927 secs]
132.470: [GC 151871K->140066K(220732K), 0.0136380 secs]
132.588: [GC 157090K->156231K(220732K), 0.0325840 secs]
132.671: [GC 171636K->166183K(220732K), 0.0211756 secs]
132.720: [GC 183206K->177874K(220732K), 0.0142901 secs]
132.744: [GC 178397K(220732K), 0.0030741 secs]
132.854: [GC 149772K->148238K(236864K), 0.0286497 secs]
132.883: [GC 148377K(236864K), 0.0038452 secs]
132.931: [GC 163892K->157851K(236864K), 0.0134078 secs]
132.966: [GC 174875K->160130K(236864K), 0.0076168 secs]
133.026: [GC 176197K->168949K(236864K), 0.0181152 secs]
133.103: [GC 185638K->177117K(236864K), 0.0177157 secs]
133.195: [GC 193651K->180992K(236864K), 0.0112900 secs]
133.275: [GC 198016K->187268K(236864K), 0.0275958 secs]
133.305: [GC 187340K(236864K), 0.0080448 secs]
133.424: [GC 161710K->159989K(256800K), 0.0297551 secs]
133.455: [GC 160177K(256800K), 0.0036570 secs]
133.478: [GC 176727K->164824K(256800K), 0.0077194 secs]
133.499: [GC 178278K->165989K(256800K), 0.0038197 secs]
133.512: [GC 182338K->171908K(256800K), 0.0039505 secs]
133.726: [GC 188588K->176271K(256800K), 0.0100878 secs]
133.744: [GC 185325K(256800K), 0.0029150 secs]
134.170: [GC 158770K->147150K(256800K), 0.0132759 secs]
134.217: [GC 163709K->153667K(256800K), 0.0112906 secs]
134.695: [GC 170691K->163056K(256800K), 0.0192342 secs]
134.901: [GC 180080K->168721K(256800K), 0.0135998 secs]
134.990: [GC 185679K->184159K(256800K), 0.0260531 secs]
135.017: [GC 184319K(256800K), 0.0036607 secs]
135.051: [GC 200138K->190480K(256800K), 0.0112503 secs]
135.104: [GC 207504K->195260K(256800K), 0.0130606 secs]
135.216: [GC 212284K->210587K(256800K), 0.0316457 secs]
135.280: [GC 227443K->215637K(256800K), 0.0085813 secs]
135.384: [GC 232661K->222010K(256800K), 0.0156461 secs]
135.440: [GC 239034K->227056K(256800K), 0.0134918 secs]
135.507: [GC 243839K->238240K(256800K), 0.0235404 secs]
135.592: [GC 255226K->246676K(264640K), 0.0205185 secs]
135.718: [GC 263142K->250515K(268480K), 0.0192666 secs]
135.752: [GC 260541K(268480K), 0.0032181 secs]
135.836: [GC 228906K->217548K(268480K), 0.0067474 secs]
135.852: [GC 232353K->220549K(268480K), 0.0036882 secs]
136.208: [GC 231736K->219032K(379116K), 0.0036457 secs]
136.257: [GC 236056K->224042K(379116K), 0.0115394 secs]
136.316: [GC 238648K->231136K(379116K), 0.0212169 secs]
136.390: [GC 247769K->240532K(379116K), 0.0186474 secs]
136.457: [GC 256677K->250333K(379116K), 0.0188656 secs]
136.488: [GC 265340K->254171K(379116K), 0.0061709 secs]
136.504: [GC 269817K->266003K(379116K), 0.0114953 secs]
136.516: [GC 268524K(379116K), 0.0018732 secs]
136.657: [GC 282517K->271039K(379116K), 0.0107703 secs]
136.715: [GC 288063K->277039K(379116K), 0.0164024 secs]
136.766: [GC 294063K->281975K(379116K), 0.0144495 secs]
136.889: [GC 298114K->297563K(379116K), 0.0377046 secs]
136.981: [GC 311559K->308872K(379116K), 0.0194896 secs]
137.008: [GC 320181K->313865K(379116K), 0.0073611 secs]
137.033: [GC 324515K(379116K), 0.0035475 secs]
137.085: [GC 321037K->316493K(379116K), 0.0197246 secs]
137.185: [GC 285806K->283109K(379116K), 0.0304931 secs]
137.229: [GC 283792K->273091K(379116K), 0.0083926 secs]
137.300: [GC 258183K->253159K(418444K), 0.0179319 secs]
137.706: [GC 270183K->258259K(418444K), 0.0119084 secs]
137.937: [GC 275283K->266530K(418444K), 0.0181784 secs]
138.003: [GC 283063K->276025K(418444K), 0.0189188 secs]
138.103: [GC 293049K->287797K(418444K), 0.0229887 secs]
138.175: [GC 303995K->300854K(418444K), 0.0185998 secs]
138.195: [GC 305590K(418444K), 0.0038396 secs]
138.207: [GC 317281K->307111K(418444K), 0.0065593 secs]
138.493: [GC 324088K->311217K(418444K), 0.0092820 secs]
138.626: [GC 328241K->317613K(418444K), 0.0224069 secs]
138.694: [GC 334637K->322784K(418444K), 0.0122615 secs]
138.771: [GC 339808K->331178K(418444K), 0.0203105 secs]
138.871: [GC 348202K->347282K(418444K), 0.0335223 secs]
138.946: [GC 363970K->358426K(418444K), 0.0178545 secs]
138.987: [GC 375375K(418444K), 0.0037200 secs]
138.994: [GC 375449K->361027K(418444K), 0.0094046 secs]
139.097: [GC 352814K->351502K(418444K), 0.0324303 secs]
139.186: [GC 351516K->345720K(418444K), 0.0203909 secs]
139.232: [GC 334281K->319715K(418444K), 0.0086076 secs]
139.291: [GC 318277K->310664K(519820K), 0.0181453 secs]
139.581: [GC 327688K->311467K(519820K), 0.0060574 secs]
139.663: [GC 328491K->327286K(519820K), 0.0311705 secs]
139.730: [GC 342654K->337100K(519820K), 0.0131600 secs]
139.852: [GC 353975K->339213K(519820K), 0.0074214 secs]
139.869: [GC 353332K->341223K(519820K), 0.0036943 secs]
139.920: [GC 358247K->354475K(519820K), 0.0180379 secs]
139.940: [GC 354561K(519820K), 0.0032985 secs]
140.011: [GC 371499K->359473K(519820K), 0.0120003 secs]
140.076: [GC 375093K->368141K(519820K), 0.0247337 secs]
140.162: [GC 385165K->376549K(519820K), 0.0216849 secs]
140.248: [GC 392955K->380344K(519820K), 0.0120465 secs]
140.306: [GC 397368K->385724K(519820K), 0.0132018 secs]
140.373: [GC 402748K->393267K(519820K), 0.0171303 secs]
140.449: [GC 407943K->405161K(519820K), 0.0256347 secs]
140.486: [GC 418314K->406923K(519820K), 0.0055767 secs]
140.850: [GC 464331K->440306K(565196K), 0.0554007 secs]
141.053: [GC 480864K(565196K), 0.0137767 secs]
141.234: [GC 431329K->405121K(565196K), 0.0612732 secs]
141.538: [GC 415257K->379634K(650484K), 0.0443008 secs]
141.951: [GC 435327K->390001K(650484K), 0.0250716 secs]
142.107: [GC 442046K->416073K(650484K), 0.0488349 secs]
142.447: [GC 473481K->439891K(650484K), 0.0460385 secs]
142.493: [GC 440133K(650484K), 0.0060600 secs]
142.720: [GC 497299K->474261K(650484K), 0.0744621 secs]
142.925: [GC 531130K->499289K(650484K), 0.0491770 secs]
143.356: [GC 552494K->531228K(650484K), 0.0683646 secs]
143.485: [GC 575076K(650484K), 0.0048741 secs]
143.623: [GC 561225K->507512K(650484K), 0.0219209 secs]
143.966: [GC 470964K->425930K(743712K), 0.0354759 secs]
144.180: [GC 483338K->456774K(743712K), 0.0586958 secs]
144.367: [GC 514182K->476331K(743712K), 0.0421277 secs]
144.763: [GC 533739K->497758K(743712K), 0.0421898 secs]
144.920: [GC 553064K->519540K(743712K), 0.0422818 secs]
144.963: [GC 522164K(743712K), 0.0073187 secs]
145.491: [GC 576948K->537924K(743712K), 0.0473939 secs]
145.738: [GC 595332K->575673K(743712K), 0.0646414 secs]
145.983: [GC 624873K(743712K), 0.0138482 secs]
146.097: [GC 615891K->578060K(743712K), 0.0479934 secs]
146.713: [GC 528960K->505492K(838852K), 0.0717619 secs]
147.043: [GC 562777K->525912K(838852K), 0.0451041 secs]
147.388: [GC 583320K->538456K(838852K), 0.0334903 secs]
