1.031: [GC 16000K->1732K(81280K), 0.0149712 secs]
1.117: [Full GC 4660K->1602K(81280K), 0.0696539 secs]
1.191: [Full GC 1602K->1602K(81280K), 0.0522140 secs]
8.147: [GC 17602K->5142K(81280K), 0.0213101 secs]
10.779: [GC 21118K->7597K(81280K), 0.0280481 secs]
10.826: [GC 23594K->6859K(81280K), 0.0053609 secs]
10.845: [GC 22823K->7727K(81280K), 0.0065394 secs]
10.864: [GC 23709K->7400K(81280K), 0.0087963 secs]
10.885: [GC 23360K->6901K(81280K), 0.0008283 secs]
10.898: [GC 22883K->6817K(81280K), 0.0009107 secs]
10.912: [GC 22776K->6809K(81280K), 0.0016169 secs]
10.926: [GC 22761K->6695K(81280K), 0.0006408 secs]
10.939: [GC 22654K->6812K(81280K), 0.0006980 secs]
10.952: [GC 22739K->6850K(81280K), 0.0008954 secs]
10.967: [GC 22797K->6787K(81280K), 0.0038036 secs]
10.983: [GC 22720K->6800K(81280K), 0.0007793 secs]
11.003: [GC 22761K->6647K(81280K), 0.0007959 secs]
11.026: [GC 22641K->6529K(81280K), 0.0013453 secs]
11.050: [GC 22514K->6603K(81280K), 0.0017767 secs]
11.066: [GC 22594K->6715K(81280K), 0.0012931 secs]
11.084: [GC 22701K->6738K(81280K), 0.0015977 secs]
11.104: [GC 22714K->6697K(81280K), 0.0011215 secs]
11.121: [GC 22672K->6785K(81280K), 0.0008762 secs]
11.137: [GC 22772K->6787K(81280K), 0.0006713 secs]
11.149: [GC 22778K->6877K(81280K), 0.0008470 secs]
11.163: [GC 22855K->6845K(81280K), 0.0009673 secs]
11.176: [GC 22845K->6916K(81280K), 0.0009696 secs]
11.189: [GC 22864K->7034K(81280K), 0.0010325 secs]
11.204: [GC 23004K->7011K(81280K), 0.0012235 secs]
11.221: [GC 22938K->7185K(81280K), 0.0017186 secs]
11.245: [GC 23183K->7029K(81280K), 0.0014818 secs]
11.260: [GC 23016K->6864K(81280K), 0.0018494 secs]
11.282: [GC 22802K->7127K(81280K), 0.0009947 secs]
11.304: [GC 23015K->6951K(81280K), 0.0007803 secs]
11.332: [GC 22899K->6918K(81280K), 0.0050073 secs]
11.354: [GC 22902K->6903K(81280K), 0.0011677 secs]
11.372: [GC 22839K->7018K(81280K), 0.0061837 secs]
11.393: [GC 22966K->7122K(81280K), 0.0024096 secs]
11.410: [GC 23039K->7152K(81280K), 0.0034170 secs]
11.432: [GC 23141K->7085K(81280K), 0.0023083 secs]
11.455: [GC 23082K->6951K(81280K), 0.0045707 secs]
11.475: [GC 22937K->7025K(81280K), 0.0020420 secs]
11.493: [GC 22998K->7148K(81280K), 0.0022706 secs]
11.508: [GC 23131K->7112K(81280K), 0.0028387 secs]
11.527: [GC 23108K->7244K(81280K), 0.0017823 secs]
11.541: [GC 23241K->7171K(81280K), 0.0014208 secs]
11.558: [GC 23142K->7272K(81280K), 0.0015960 secs]
11.576: [GC 23256K->7418K(81280K), 0.0017148 secs]
11.598: [GC 23410K->7397K(81280K), 0.0017072 secs]
