0.386: [GC 17024K->14359K(83008K), 0.2662200 secs]
0.746: [GC 31383K->28880K(83008K), 0.1108460 secs]
0.907: [GC 45904K->38475K(83008K), 0.0671790 secs]
0.980: [GC 46914K(83008K), 0.0067790 secs]
0.993: [GC 55499K->39489K(83008K), 0.0119640 secs]
1.022: [GC 56513K->38728K(83008K), 0.0005140 secs]
1.035: [GC 55752K->38538K(83008K), 0.0005000 secs]
1.047: [GC 55562K->38491K(83008K), 0.0005200 secs]
1.064: [GC 55515K->38476K(83008K), 0.0005180 secs]
1.200: [GC 55500K->49308K(83008K), 0.1014900 secs]
1.305: [GC 50522K(83008K), 0.0175630 secs]
1.328: [GC 51065K->51222K(83008K), 0.0171120 secs]
1.363: [GC 67515K->67040K(99396K), 0.0805140 secs]
1.578: [GC 81340K->79543K(99396K), 0.0946620 secs]
1.734: [GC 96263K->81334K(147684K), 0.0145670 secs]
1.754: [GC 86593K(147684K), 0.0019340 secs]
1.778: [GC 98358K->82311K(147684K), 0.0107700 secs]
1.816: [GC 99335K->81139K(147684K), 0.0016760 secs]
1.842: [GC 98163K->81076K(147684K), 0.0017490 secs]
1.864: [GC 98100K->81229K(147684K), 0.0020710 secs]
1.934: [GC 98253K->82170K(147684K), 0.0080620 secs]
2.007: [GC 91954K(147684K), 0.0099960 secs]
2.105: [GC 92245K->90937K(147684K), 0.1267200 secs]
2.327: [GC 98142K->93749K(147684K), 0.0624770 secs]
2.417: [GC 105520K->90536K(147684K), 0.0088340 secs]
2.449: [GC 100880K->82652K(147684K), 0.0036670 secs]
2.480: [GC 80579K->63307K(147684K), 0.0037660 secs]
2.511: [GC 80331K->63608K(147684K), 0.0038640 secs]
2.535: [GC 80632K->64200K(147684K), 0.0157980 secs]
2.592: [GC 81224K->67198K(147684K), 0.0185010 secs]
2.645: [GC 84222K->81476K(147684K), 0.0580710 secs]
2.710: [GC 85546K(147684K), 0.0055820 secs]
2.756: [GC 98500K->94803K(147684K), 0.0611790 secs]
2.841: [GC 111827K->96995K(147684K), 0.0167120 secs]
2.876: [GC 114019K->98929K(147684K), 0.0133340 secs]
2.912: [GC 115953K->98426K(147684K), 0.0085720 secs]
2.940: [GC 115450K->98895K(147684K), 0.0098350 secs]
2.971: [GC 115919K->99157K(147684K), 0.0111760 secs]
3.002: [GC 116181K->99669K(147684K), 0.0080220 secs]
3.057: [GC 116693K->106967K(147684K), 0.0390440 secs]
3.145: [GC 121996K(147684K), 0.0087140 secs]
3.158: [GC 122597K->120343K(158436K), 0.0685440 secs]
3.261: [GC 135088K->125096K(163812K), 0.0378110 secs]
3.323: [GC 135394K->120463K(164772K), 0.0106840 secs]
3.356: [GC 132840K->114896K(164772K), 0.0068460 secs]
3.381: [GC 127807K->110985K(164772K), 0.0080160 secs]
3.412: [GC 117723K->101133K(164772K), 0.0098200 secs]
3.443: [GC 106562K->90139K(164772K), 0.0120060 secs]
3.494: [GC 91822K->77942K(164772K), 0.0249330 secs]
3.542: [GC 94966K->93042K(164772K), 0.1063750 secs]
3.653: [GC 94496K(164772K), 0.0019630 secs]
3.689: [GC 110066K->102927K(171876K), 0.0545110 secs]
3.773: [GC 119951K->105038K(173988K), 0.0162640 secs]
3.809: [GC 122062K->104386K(173988K), 0.0113750 secs]
3.841: [GC 121410K->104750K(174504K), 0.0130050 secs]
3.874: [GC 121774K->105135K(174504K), 0.0090820 secs]
3.908: [GC 122159K->105442K(174504K), 0.0124770 secs]
3.941: [GC 122466K->105550K(174504K), 0.0139690 secs]
4.008: [GC 122574K->119394K(174504K), 0.0475880 secs]
4.072: [GC 130083K(174504K), 0.0201040 secs]
4.107: [GC 133687K->130243K(181992K), 0.1051870 secs]
4.243: [GC 145451K->130465K(181992K), 0.0108390 secs]
4.272: [GC 142876K->125055K(181992K), 0.0072610 secs]
4.304: [GC 139516K->122258K(181992K), 0.0133320 secs]
4.341: [GC 127587K->111216K(181992K), 0.0102830 secs]
4.375: [GC 126428K->109290K(181992K), 0.0122790 secs]
4.399: [GC 126142K->109270K(181992K), 0.0100130 secs]
4.464: [GC 97593K->94292K(181992K), 0.0426530 secs]
4.533: [GC 106712K->103576K(181992K), 0.1160270 secs]
4.653: [GC 104317K(181992K), 0.0014750 secs]
4.673: [GC 120600K->105613K(181992K), 0.0319810 secs]
4.737: [GC 122637K->104429K(181992K), 0.0118020 secs]
4.771: [GC 121453K->104718K(181992K), 0.0115460 secs]
4.833: [GC 121742K->105035K(181992K), 0.0355920 secs]
4.916: [GC 122059K->105754K(181992K), 0.0259550 secs]
4.971: [GC 122778K->105393K(181992K), 0.0223030 secs]
5.084: [GC 122417K->117794K(181992K), 0.0607460 secs]
5.177: [GC 129032K(181992K), 0.0270470 secs]
5.217: [GC 133019K->128997K(181992K), 0.1016280 secs]
5.345: [GC 144547K->129611K(181992K), 0.0318510 secs]
5.398: [GC 136135K->121039K(181992K), 0.0297590 secs]
5.446: [GC 136801K->118303K(181992K), 0.0066510 secs]
5.476: [GC 128539K->111895K(181992K), 0.0084440 secs]
5.507: [GC 114144K->97520K(181992K), 0.0102360 secs]
5.533: [GC 110433K->93685K(181992K), 0.0113120 secs]
5.587: [GC 93954K->86451K(181992K), 0.0307720 secs]
5.622: [GC 89949K(181992K), 0.0029920 secs]
5.657: [GC 103475K->100156K(181992K), 0.1636320 secs]
5.850: [GC 117180K->104204K(181992K), 0.0759300 secs]
5.944: [GC 121228K->106282K(181992K), 0.0428200 secs]
6.002: [GC 123306K->104748K(181992K), 0.0060880 secs]
6.041: [GC 121772K->105074K(181992K), 0.0086080 secs]
6.071: [GC 122098K->105477K(181992K), 0.0107480 secs]
6.101: [GC 122501K->105628K(181992K), 0.0253920 secs]
6.203: [GC 122652K->112837K(181992K), 0.0513060 secs]
6.318: [GC 129861K->128105K(188904K), 0.2406510 secs]
6.593: [GC 145129K->132702K(193128K), 0.0218540 secs]
6.639: [GC 149726K->134771K(194664K), 0.0166990 secs]
6.681: [GC 151795K->133261K(194664K), 0.0080610 secs]
6.715: [GC 150285K->133743K(194664K), 0.0088220 secs]
6.744: [GC 150767K->134079K(194664K), 0.0123130 secs]
6.779: [GC 151103K->134250K(194664K), 0.0156660 secs]
6.839: [GC 151274K->140334K(198696K), 0.0401090 secs]
6.885: [GC 142087K(198696K), 0.0207370 secs]
6.954: [GC 154531K->149139K(200616K), 0.1123260 secs]
7.168: [GC 141665K->135487K(202920K), 0.1079630 secs]
7.354: [GC 122975K->118893K(207144K), 0.1169100 secs]
7.483: [GC 133027K(207144K), 0.0069820 secs]
7.499: [GC 135917K->120950K(207720K), 0.0228190 secs]
7.539: [GC 137974K->119819K(207720K), 0.0093250 secs]
7.560: [GC 136843K->120176K(207720K), 0.0094050 secs]
