2011-08-07T18:30:12.100+0100: 10.362: [GC [PSYoungGen: 524160K->0K(524224K)] 2621312K->2125296K(20971456K), 0.0587810 secs] [Times: user=0.31 sys=0.01, real=0.06 secs] 
2011-08-07T18:30:17.711+0100: 15.973: [GC [PSYoungGen: 524160K->0K(524224K)] 2649456K->2133504K(20971456K), 0.0742930 secs] [Times: user=0.32 sys=0.01, real=0.08 secs] 
2011-08-07T18:30:36.504+0100: 34.765: [GC [PSYoungGen: 524160K->0K(524224K)] 2657664K->2216764K(20971456K), 0.1503620 secs] [Times: user=0.56 sys=0.04, real=0.15 secs] 
2011-08-07T18:46:34.108+0100: 992.370: [GC [PSYoungGen: 524160K->0K(524224K)] 2740924K->2217449K(20971456K), 0.0707310 secs] [Times: user=0.24 sys=0.00, real=0.07 secs] 
2011-08-07T19:03:58.324+0100: 2036.586: [GC [PSYoungGen: 524160K->0K(524224K)] 2741609K->2217857K(20971456K), 0.0716390 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T19:21:28.066+0100: 3086.327: [GC [PSYoungGen: 524160K->0K(524224K)] 2742017K->2218281K(20971456K), 0.0706420 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T19:39:20.406+0100: 4158.668: [GC [PSYoungGen: 524160K->0K(524224K)] 2742441K->2219457K(20971456K), 0.0706340 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T19:57:22.774+0100: 5241.035: [GC [PSYoungGen: 524160K->0K(524224K)] 2743617K->2220425K(20971456K), 0.0705250 secs] [Times: user=0.25 sys=0.01, real=0.07 secs] 
2011-08-07T20:15:46.214+0100: 6344.476: [GC [PSYoungGen: 524160K->0K(524224K)] 2744585K->2220849K(20971456K), 0.0705200 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T20:33:59.405+0100: 7437.666: [GC [PSYoungGen: 524160K->0K(524224K)] 2745009K->2221305K(20971456K), 0.0706950 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T20:52:17.625+0100: 8535.887: [GC [PSYoungGen: 524160K->0K(524224K)] 2745465K->2221777K(20971456K), 0.0715750 secs] [Times: user=0.26 sys=0.00, real=0.08 secs] 
2011-08-07T21:10:29.111+0100: 9627.372: [GC [PSYoungGen: 524160K->0K(524224K)] 2745937K->2222193K(20971456K), 0.0706490 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T21:28:33.127+0100: 10711.388: [GC [PSYoungGen: 524160K->0K(524224K)] 2746353K->2222641K(20971456K), 0.0707750 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T21:46:50.304+0100: 11808.565: [GC [PSYoungGen: 524160K->0K(524224K)] 2746801K->2223049K(20971456K), 0.0706340 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T22:04:50.029+0100: 12888.291: [GC [PSYoungGen: 524160K->0K(524224K)] 2747209K->2223513K(20971456K), 0.0705250 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T22:23:11.570+0100: 13989.832: [GC [PSYoungGen: 524160K->0K(524224K)] 2747673K->2223929K(20971456K), 0.0722440 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T22:41:23.058+0100: 15081.320: [GC [PSYoungGen: 524160K->0K(524224K)] 2748089K->2224633K(20971456K), 0.0706250 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T22:59:53.127+0100: 16191.389: [GC [PSYoungGen: 524160K->0K(524224K)] 2748793K->2225329K(20971456K), 0.0708430 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T23:23:37.156+0100: 17615.418: [GC [PSYoungGen: 524160K->0K(524224K)] 2749489K->2225850K(20971456K), 0.0705820 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-07T23:41:45.375+0100: 18703.637: [GC [PSYoungGen: 524160K->0K(524224K)] 2750010K->2226318K(20971456K), 0.0705340 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-08T00:00:02.390+0100: 19800.651: [GC [PSYoungGen: 524160K->0K(524224K)] 2750478K->2226782K(20971456K), 0.0706620 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-08T00:17:12.193+0100: 20830.455: [GC [PSYoungGen: 524160K->0K(524224K)] 2750942K->2230398K(20971456K), 0.0780660 secs] [Times: user=0.27 sys=0.01, real=0.08 secs] 
2011-08-08T00:35:24.519+0100: 21922.781: [GC [PSYoungGen: 524160K->0K(524224K)] 2754558K->2230818K(20971456K), 0.0706820 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-08T00:53:16.511+0100: 22994.773: [GC [PSYoungGen: 524160K->0K(524224K)] 2754978K->2231258K(20971456K), 0.0706640 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-08T01:00:05.698+0100: 23403.960: [GC [PSYoungGen: 522973K->0K(524224K)] 2754232K->2236978K(20971456K), 0.0731900 secs] [Times: user=0.27 sys=0.00, real=0.07 secs] 
2011-08-08T01:00:11.718+0100: 23409.980: [GC [PSYoungGen: 524160K->0K(524224K)] 2761138K->2247954K(20971456K), 0.0741260 secs] [Times: user=0.26 sys=0.00, real=0.08 secs] 
2011-08-08T01:00:17.387+0100: 23415.648: [GC [PSYoungGen: 524160K->0K(524224K)] 2772114K->2255071K(20971456K), 0.0737000 secs] [Times: user=0.26 sys=0.00, real=0.08 secs] 
2011-08-08T01:00:22.754+0100: 23421.015: [GC [PSYoungGen: 523836K->0K(524224K)] 2778907K->2263472K(20971456K), 0.0731470 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
2011-08-08T01:00:29.264+0100: 23427.526: [GC [PSYoungGen: 524160K->0K(524224K)] 2787632K->2271078K(20971456K), 0.0732830 secs] [Times: user=0.27 sys=0.00, real=0.07 secs] 
2011-08-08T01:00:35.278+0100: 23433.539: [GC [PSYoungGen: 524160K->0K(524224K)] 2795238K->2276903K(20971456K), 0.0738110 secs] [Times: user=0.26 sys=0.01, real=0.07 secs] 
2011-08-08T01:00:40.956+0100: 23439.217: [GC [PSYoungGen: 524160K->0K(524224K)] 2801063K->2282351K(20971456K), 0.0761350 secs] [Times: user=0.27 sys=0.00, real=0.07 secs] 
2011-08-08T01:00:46.503+0100: 23444.764: [GC [PSYoungGen: 524160K->0K(524224K)] 2806511K->2287784K(20971456K), 0.0744840 secs] [Times: user=0.27 sys=0.00, real=0.08 secs] 
2011-08-08T01:00:52.370+0100: 23450.631: [GC [PSYoungGen: 523889K->0K(524224K)] 2811673K->2296076K(20971456K), 0.0765570 secs] [Times: user=0.28 sys=0.00, real=0.07 secs] 
2011-08-08T01:00:57.415+0100: 23455.676: [GC [PSYoungGen: 524160K->0K(524224K)] 2820236K->2304701K(20971456K), 0.0765000 secs] [Times: user=0.26 sys=0.01, real=0.08 secs] 
2011-08-08T01:01:02.651+0100: 23460.913: [GC [PSYoungGen: 524160K->0K(524224K)] 2828861K->2310978K(20971456K), 0.0758730 secs] [Times: user=0.27 sys=0.00, real=0.07 secs] 
2011-08-08T01:12:32.142+0100: 24150.403: [GC [PSYoungGen: 524160K->0K(524224K)] 2835138K->2313538K(20971456K), 0.0719550 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
2011-08-08T01:30:37.804+0100: 25236.066: [GC [PSYoungGen: 524160K->0K(524224K)] 2837698K->2313946K(20971456K), 0.0709920 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
2011-08-08T01:48:25.547+0100: 26303.809: [GC [PSYoungGen: 524160K->0K(524224K)] 2838106K->2314386K(20971456K), 0.0708040 secs] [Times: user=0.25 sys=0.01, real=0.07 secs] 
2011-08-08T02:06:30.971+0100: 27389.233: [GC [PSYoungGen: 524160K->0K(524224K)] 2838546K->2314850K(20971456K), 0.0709640 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2011-08-08T02:24:35.898+0100: 28474.160: [GC [PSYoungGen: 524160K->0K(524224K)] 2839010K->2315316K(20971456K), 0.0718920 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
2011-08-08T02:42:58.646+0100: 29576.908: [GC [PSYoungGen: 524160K->0K(524224K)] 2839476K->2315756K(20971456K), 0.0711380 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
2011-08-08T03:00:46.878+0100: 30645.140: [GC [PSYoungGen: 524160K->0K(524224K)] 2839916K->2316204K(20971456K), 0.0711320 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
