0.749: [GC [PSYoungGen: 1398144K->9476K(2796224K)] 1398144K->9476K(2801600K), 0.0035910 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.189: [GC [PSYoungGen: 1407620K->15252K(2796224K)] 1407620K->15252K(2801600K), 0.0067970 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
1.642: [GC [PSYoungGen: 1413396K->17740K(2796224K)] 1413396K->17740K(2801600K), 0.0050110 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2.135: [GC [PSYoungGen: 1415884K->15776K(2796224K)] 1415884K->15776K(2801600K), 0.0066170 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2.496: [GC [PSYoungGen: 1413920K->32033K(2796224K)] 1413920K->32033K(2801600K), 0.0080410 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2.837: [GC [PSYoungGen: 1430177K->31097K(4150912K)] 1430177K->32657K(4156288K), 0.0069600 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
3.853: [GC [PSYoungGen: 4150905K->23427K(4157056K)] 4152465K->27862K(4162432K), 0.0079290 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
3.861: [Full GC [PSYoungGen: 23427K->20608K(4157056K)] [PSOldGen: 4435K->5358K(13888K)] 27862K->25967K(4170944K) [PSPermGen: 2812K->2812K(21248K)], 0.0120090 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
4.755: [GC [PSYoungGen: 4119808K->32218K(4151616K)] 4125166K->37576K(4165504K), 0.0085480 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
5.617: [GC [PSYoungGen: 4147418K->39548K(4154752K)] 4152776K->84296K(4199616K), 0.0223490 secs] [Times: user=0.10 sys=0.04, real=0.02 secs] 
5.639: [Full GC [PSYoungGen: 39548K->21095K(4154752K)] [PSOldGen: 44748K->44823K(70912K)] 84296K->65919K(4225664K) [PSPermGen: 2812K->2812K(21248K)], 0.0213250 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
6.499: [GC [PSYoungGen: 4115200K->39537K(4109952K)] 4160023K->85817K(4180864K), 0.0107750 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
