0.880: [GC [PSYoungGen: 12288K->1648K(14336K)] 12288K->1648K(47104K), 0.0093244 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.108: [GC [PSYoungGen: 8148K->1714K(26624K)] 8148K->1714K(59392K), 0.0069620 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.115: [Full GC (System) [PSYoungGen: 1714K->0K(26624K)] [PSOldGen: 0K->1619K(32768K)] 1714K->1619K(59392K) [PSPermGen: 10118K->10118K(21248K)], 0.0513061 secs] [Times: user=0.05 sys=0.01, real=0.05 secs] 
1.168: [GC [PSYoungGen: 0K->0K(26624K)] 1619K->1619K(59392K), 0.0003283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.168: [Full GC (System) [PSYoungGen: 0K->0K(26624K)] [PSOldGen: 1619K->1619K(32768K)] 1619K->1619K(59392K) [PSPermGen: 10118K->10118K(23296K)], 0.0505150 secs] [Times: user=0.04 sys=0.00, real=0.05 secs] 
11.163: [GC [PSYoungGen: 24565K->2042K(26624K)] 26185K->6264K(59392K), 0.0205066 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
11.204: [GC [PSYoungGen: 26580K->2042K(26624K)] 30802K->6368K(59392K), 0.0087708 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
11.233: [GC [PSYoungGen: 26600K->2036K(51200K)] 30926K->6370K(83968K), 0.0081966 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
11.307: [GC [PSYoungGen: 51146K->2035K(51200K)] 55480K->6369K(83968K), 0.0087269 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.381: [GC [PSYoungGen: 51172K->2089K(101696K)] 55506K->6423K(134464K), 0.0084199 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
11.560: [GC [PSYoungGen: 100357K->121K(101888K)] 104691K->6383K(134656K), 0.0138828 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
11.664: [GC [PSYoungGen: 98420K->101K(200256K)] 104682K->6363K(233024K), 0.0007170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.884: [GC [PSYoungGen: 196581K->1122K(200384K)] 202843K->7383K(233152K), 0.0034957 secs] [Times: user=0.00 sys=0.01, real=0.09 secs] 
14.171: [GC [PSYoungGen: 197602K->2044K(258112K)] 203863K->8306K(290880K), 0.0192044 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
18.532: [GC [PSYoungGen: 256508K->2215K(258176K)] 262770K->8973K(290944K), 0.3196893 secs] [Times: user=0.00 sys=0.00, real=0.32 secs] 
19.071: [GC [PSYoungGen: 256668K->3292K(257664K)] 263427K->10106K(290432K), 0.0237659 secs] [Times: user=0.01 sys=0.00, real=0.06 secs] 
19.330: [GC [PSYoungGen: 257241K->2618K(256576K)] 264055K->9441K(289344K), 0.0024171 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.527: [GC [PSYoungGen: 256520K->4145K(256832K)] 263342K->11100K(289600K), 0.0056789 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.731: [GC [PSYoungGen: 256816K->3842K(256576K)] 263771K->10805K(289344K), 0.0064628 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
20.102: [GC [PSYoungGen: 256502K->2947K(257088K)] 263464K->9909K(289856K), 0.0114128 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
20.508: [GC [PSYoungGen: 254907K->1803K(253824K)] 261870K->8798K(286592K), 0.0155320 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
20.795: [GC [PSYoungGen: 253733K->1673K(257088K)] 260728K->9205K(289856K), 0.0035393 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
20.985: [GC [PSYoungGen: 253814K->2746K(256896K)] 261345K->10382K(289664K), 0.0048747 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
