0.392: [GC 0.392: [ParNew: 1984K->320K(2304K), 0.0075019 secs] 1984K->524K(7616K), 0.0075748 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
11.173: [GC 11.173: [ParNew: 3552K->198K(3904K), 0.0005153 secs] 10088K->6734K(12552K), 0.0005497 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.175: [GC 11.175: [ParNew: 3519K->202K(3904K), 0.0004564 secs] 10055K->6738K(12552K), 0.0004902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.177: [GC 11.178: [ParNew: 3555K->87K(3904K), 0.0005712 secs] 10091K->6696K(12552K), 0.0006055 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.180: [GC 11.180: [ParNew: 3419K->125K(3904K), 0.0004777 secs] 10028K->6734K(12552K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.184: [GC 11.184: [ParNew: 3511K->127K(3904K), 0.0004855 secs] 10119K->6735K(12552K), 0.0005401 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.186: [GC 11.186: [ParNew: 3424K->130K(3904K), 0.0007645 secs] 10032K->6738K(12552K), 0.0008224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.189: [GC 11.189: [ParNew: 3460K->67K(3904K), 0.0003507 secs] 10068K->6676K(12552K), 0.0003842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.191: [GC 11.191: [ParNew: 3332K->135K(3904K), 0.0003392 secs] 9940K->6744K(12552K), 0.0003744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.193: [GC 11.193: [ParNew: 3394K->138K(3904K), 0.0003573 secs] 10002K->6747K(12552K), 0.0003907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.195: [GC 11.195: [ParNew: 3512K->143K(3904K), 0.0004075 secs] 10121K->6752K(12552K), 0.0004443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.198: [GC 11.198: [ParNew: 3482K->224K(3904K), 0.0004676 secs] 10091K->6832K(12552K), 0.0005141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.200: [GC 11.200: [ParNew: 3551K->230K(3904K), 0.0004660 secs] 10159K->6838K(12552K), 0.0005018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.202: [GC 11.202: [ParNew: 3607K->233K(3904K), 0.0004484 secs] 10215K->6841K(12552K), 0.0004834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.206: [GC 11.206: [ParNew: 3519K->159K(3904K), 0.0005253 secs] 10127K->6768K(12552K), 0.0005793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.208: [GC 11.208: [ParNew: 3500K->241K(3904K), 0.0004232 secs] 10108K->6849K(12552K), 0.0004583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.212: [GC 11.212: [ParNew: 3559K->83K(3904K), 0.0005441 secs] 10167K->6692K(12552K), 0.0005943 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
11.214: [GC 11.214: [ParNew: 3453K->166K(3904K), 0.0005576 secs] 10061K->6775K(12552K), 0.0006037 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.216: [GC 11.216: [ParNew: 3478K->168K(3904K), 0.0004838 secs] 10086K->6776K(12552K), 0.0005240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.219: [GC 11.219: [ParNew: 3518K->170K(3904K), 0.0003966 secs] 10126K->6778K(12552K), 0.0004356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.258: [GC 11.258: [ParNew: 3562K->8K(3904K), 0.0006643 secs] 10170K->6616K(12552K), 0.0007027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.263: [GC 11.264: [ParNew: 3388K->42K(3904K), 0.0004393 secs] 9996K->6650K(12552K), 0.0004843 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.269: [GC 11.269: [ParNew: 3422K->53K(3904K), 0.0009855 secs] 10030K->6661K(12552K), 0.0010357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.272: [GC 11.272: [ParNew: 3439K->43K(3904K), 0.0003739 secs] 10047K->6651K(12552K), 0.0004696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.275: [GC 11.275: [ParNew: 3413K->76K(3904K), 0.0004090 secs] 10021K->6685K(12552K), 0.0004539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.278: [GC 11.278: [ParNew: 3419K->82K(3904K), 0.0003751 secs] 10027K->6690K(12552K), 0.0004079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.280: [GC 11.280: [ParNew: 3440K->89K(3904K), 0.0007825 secs] 10049K->6697K(12552K), 0.0008224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.284: [GC 11.284: [ParNew: 3457K->96K(3904K), 0.0004228 secs] 10065K->6704K(12552K), 0.0004585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.288: [GC 11.288: [ParNew: 3408K->101K(3904K), 0.0004654 secs] 10017K->6709K(12552K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.290: [GC 11.290: [ParNew: 3438K->106K(3904K), 0.0003953 secs] 10046K->6715K(12552K), 0.0004296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.292: [GC 11.292: [ParNew: 3489K->112K(3904K), 0.0003791 secs] 10097K->6720K(12552K), 0.0004123 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.294: [GC 11.294: [ParNew: 3466K->70K(3904K), 0.0003336 secs] 10075K->6678K(12552K), 0.0003672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.297: [GC 11.297: [ParNew: 3373K->124K(3904K), 0.0004242 secs] 9981K->6732K(12552K), 0.0004640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.300: [GC 11.300: [ParNew: 3498K->128K(3904K), 0.0004272 secs] 10107K->6736K(12552K), 0.0004648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.303: [GC 11.303: [ParNew: 3420K->132K(3904K), 0.0004287 secs] 10029K->6740K(12552K), 0.0004638 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.305: [GC 11.305: [ParNew: 3517K->127K(3904K), 0.0004243 secs] 10126K->6752K(12552K), 0.0004589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.307: [GC 11.307: [ParNew: 3496K->179K(3904K), 0.0004416 secs] 10121K->6814K(12552K), 0.0004793 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.309: [GC 11.309: [ParNew: 3522K->183K(3904K), 0.0004203 secs] 10157K->6818K(12552K), 0.0004534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.312: [GC 11.312: [ParNew: 3515K->65K(3904K), 0.0003460 secs] 10150K->6700K(12552K), 0.0003836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.314: [GC 11.314: [ParNew: 3437K->67K(3904K), 0.0003691 secs] 10072K->6702K(12552K), 0.0004105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.318: [GC 11.318: [ParNew: 3452K->202K(3904K), 0.0004069 secs] 10087K->6836K(12552K), 0.0004455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.320: [GC 11.321: [ParNew: 3583K->138K(3904K), 0.0003845 secs] 10217K->6773K(12552K), 0.0004198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.323: [GC 11.323: [ParNew: 3492K->143K(3904K), 0.0008843 secs] 10127K->6778K(12552K), 0.0009353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.326: [GC 11.326: [ParNew: 3531K->76K(3904K), 0.0003969 secs] 10165K->6710K(12552K), 0.0004322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.328: [GC 11.328: [ParNew: 3465K->154K(3904K), 0.0005220 secs] 10100K->6788K(12552K), 0.0005591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.331: [GC 11.331: [ParNew: 3525K->156K(3904K), 0.0004725 secs] 10159K->6790K(12552K), 0.0005074 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.333: [GC 11.333: [ParNew: 3510K->80K(3904K), 0.0003470 secs] 10144K->6715K(12552K), 0.0003814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.335: [GC 11.335: [ParNew: 3337K->161K(3904K), 0.0003570 secs] 9971K->6796K(12552K), 0.0003899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.338: [GC 11.338: [ParNew: 3549K->245K(3904K), 0.0005215 secs] 10184K->6879K(12552K), 0.0005616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.341: [GC 11.341: [ParNew: 3611K->84K(3904K), 0.0003521 secs] 10246K->6719K(12552K), 0.0003845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.343: [GC 11.343: [ParNew: 3476K->167K(3904K), 0.0004082 secs] 10110K->6802K(12552K), 0.0004512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.346: [GC 11.346: [ParNew: 3512K->170K(3904K), 0.0004354 secs] 10147K->6805K(12552K), 0.0004725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.355: [GC 11.355: [ParNew: 3562K->8K(3904K), 0.0003955 secs] 10197K->6642K(12552K), 0.0004292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.363: [GC 11.363: [ParNew: 3398K->40K(3904K), 0.0004453 secs] 10032K->6675K(12552K), 0.0004886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.367: [GC 11.367: [ParNew: 3425K->60K(3904K), 0.0004472 secs] 10060K->6694K(12552K), 0.0004900 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.370: [GC 11.370: [ParNew: 3416K->66K(3904K), 0.0004453 secs] 10051K->6700K(12552K), 0.0004897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.373: [GC 11.373: [ParNew: 3450K->47K(3904K), 0.0004483 secs] 10085K->6681K(12552K), 0.0004897 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.377: [GC 11.377: [ParNew: 3395K->80K(3904K), 0.0005084 secs] 10030K->6715K(12552K), 0.0005622 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.381: [GC 11.381: [ParNew: 3415K->86K(3904K), 0.0004691 secs] 10050K->6721K(12552K), 0.0005131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.383: [GC 11.384: [ParNew: 3421K->95K(3904K), 0.0004746 secs] 10056K->6730K(12552K), 0.0005164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.388: [GC 11.388: [ParNew: 3468K->140K(3904K), 0.0008963 secs] 10102K->6775K(12552K), 0.0009538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.391: [GC 11.391: [ParNew: 3505K->62K(3904K), 0.0007100 secs] 10139K->6697K(12552K), 0.0007605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.394: [GC 11.394: [ParNew: 3431K->65K(3904K), 0.0004210 secs] 10066K->6700K(12552K), 0.0004611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.398: [GC 11.398: [ParNew: 3450K->69K(3904K), 0.0004265 secs] 10084K->6703K(12552K), 0.0004714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.401: [GC 11.401: [ParNew: 3364K->116K(3904K), 0.0009013 secs] 9998K->6750K(12552K), 0.0009516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.405: [GC 11.405: [ParNew: 3482K->133K(3904K), 0.0020133 secs] 10117K->6768K(12552K), 0.0020818 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.413: [GC 11.413: [ParNew: 3499K->127K(3904K), 0.0009624 secs] 10134K->6762K(12552K), 0.0010228 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.417: [GC 11.417: [ParNew: 3508K->132K(3904K), 0.0004679 secs] 10142K->6783K(12552K), 0.0005117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.420: [GC 11.420: [ParNew: 3495K->182K(3904K), 0.0007860 secs] 10145K->6843K(12552K), 0.0008361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.423: [GC 11.423: [ParNew: 3518K->183K(3904K), 0.0006776 secs] 10179K->6844K(12552K), 0.0007215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.426: [GC 11.426: [ParNew: 3566K->131K(3904K), 0.0004069 secs] 10227K->6792K(12552K), 0.0004515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.431: [GC 11.431: [ParNew: 3498K->133K(3904K), 0.0004979 secs] 10159K->6794K(12552K), 0.0005395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.434: [GC 11.434: [ParNew: 3514K->68K(3904K), 0.0010448 secs] 10175K->6729K(12552K), 0.0011033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.439: [GC 11.439: [ParNew: 3376K->140K(3904K), 0.0003911 secs] 10037K->6801K(12552K), 0.0004281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.443: [GC 11.443: [ParNew: 3484K->145K(3904K), 0.0005216 secs] 10145K->6806K(12552K), 0.0005819 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.445: [GC 11.445: [ParNew: 3521K->75K(3904K), 0.0003873 secs] 10182K->6736K(12552K), 0.0004275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.447: [GC 11.447: [ParNew: 3455K->156K(3904K), 0.0003600 secs] 10116K->6817K(12552K), 0.0003940 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.451: [GC 11.451: [ParNew: 3522K->158K(3904K), 0.0004118 secs] 10183K->6819K(12552K), 0.0004808 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.453: [GC 11.453: [ParNew: 3506K->82K(3904K), 0.0003526 secs] 10167K->6743K(12552K), 0.0003874 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.457: [GC 11.457: [ParNew: 3333K->161K(3904K), 0.0004185 secs] 9994K->6822K(12552K), 0.0004698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.459: [GC 11.459: [ParNew: 3544K->247K(3904K), 0.0004345 secs] 10205K->6908K(12552K), 0.0005111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.463: [GC 11.463: [ParNew: 3608K->84K(3904K), 0.0005469 secs] 10269K->6753K(12552K), 0.0005959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.466: [GC 11.466: [ParNew: 3473K->167K(3904K), 0.0004274 secs] 10142K->6836K(12552K), 0.0004761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.469: [GC 11.469: [ParNew: 3507K->170K(3904K), 0.0004130 secs] 10176K->6839K(12552K), 0.0004516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.477: [GC 11.477: [ParNew: 3562K->6K(3904K), 0.0003443 secs] 10231K->6675K(12552K), 0.0003805 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.486: [GC 11.486: [ParNew: 3378K->39K(3904K), 0.0004505 secs] 10047K->6708K(12552K), 0.0004869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.489: [GC 11.489: [ParNew: 3395K->54K(3904K), 0.0004125 secs] 10064K->6723K(12552K), 0.0004493 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
11.493: [GC 11.493: [ParNew: 3415K->62K(3904K), 0.0004202 secs] 10084K->6731K(12552K), 0.0004706 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.495: [GC 11.495: [ParNew: 3418K->70K(3904K), 0.0004542 secs] 10087K->6739K(12552K), 0.0004961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.497: [GC 11.497: [ParNew: 3435K->46K(3904K), 0.0003505 secs] 10104K->6715K(12552K), 0.0003833 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.500: [GC 11.500: [ParNew: 3377K->82K(3904K), 0.0003895 secs] 10046K->6751K(12552K), 0.0004229 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.503: [GC 11.503: [ParNew: 3439K->129K(3904K), 0.0005004 secs] 10109K->6798K(12552K), 0.0005425 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.506: [GC 11.506: [ParNew: 3476K->96K(3904K), 0.0003900 secs] 10146K->6765K(12552K), 0.0004318 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.511: [GC 11.511: [ParNew: 3476K->100K(3904K), 0.0005333 secs] 10145K->6769K(12552K), 0.0005863 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.513: [GC 11.513: [ParNew: 3420K->108K(3904K), 0.0006785 secs] 10089K->6777K(12552K), 0.0007241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.517: [GC 11.517: [ParNew: 3500K->122K(3904K), 0.0004700 secs] 10169K->6791K(12552K), 0.0005197 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.521: [GC 11.522: [ParNew: 3514K->177K(3904K), 0.0006795 secs] 10183K->6846K(12552K), 0.0007785 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.524: [GC 11.524: [ParNew: 3568K->110K(3904K), 0.0004371 secs] 10237K->6779K(12552K), 0.0004738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.526: [GC 11.526: [ParNew: 3497K->167K(3904K), 0.0004469 secs] 10166K->6836K(12552K), 0.0004842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.528: [GC 11.528: [ParNew: 3543K->200K(3904K), 0.0004940 secs] 10212K->6885K(12552K), 0.0005306 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.529: [GC 11.529: [ParNew: 3585K->211K(3904K), 0.0004658 secs] 10270K->6904K(12552K), 0.0005036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.532: [GC 11.532: [ParNew: 3600K->229K(3904K), 0.0005863 secs] 10294K->6922K(12552K), 0.0006317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.534: [GC 11.534: [ParNew: 3600K->232K(3904K), 0.0004760 secs] 10293K->6925K(12552K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.536: [GC 11.536: [ParNew: 3598K->214K(3904K), 0.0004368 secs] 10291K->6908K(12552K), 0.0004742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.538: [GC 11.538: [ParNew: 3564K->297K(3904K), 0.0006635 secs] 10257K->6990K(12552K), 0.0007095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.540: [GC 11.540: [ParNew: 3686K->188K(3904K), 0.0004978 secs] 10379K->6897K(12552K), 0.0005406 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.542: [GC 11.542: [ParNew: 3534K->185K(3904K), 0.0006523 secs] 10243K->6894K(12552K), 0.0006942 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.544: [GC 11.544: [ParNew: 3575K->222K(3904K), 0.0004192 secs] 10284K->6931K(12552K), 0.0004533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.546: [GC 11.546: [ParNew: 3592K->258K(3904K), 0.0005596 secs] 10301K->6967K(12552K), 0.0005986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.550: [GC 11.551: [ParNew: 3645K->304K(3904K), 0.0004877 secs] 10354K->7013K(12552K), 0.0005718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.553: [GC 11.553: [ParNew: 3685K->209K(3904K), 0.0004582 secs] 10394K->6918K(12552K), 0.0004974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.558: [GC 11.558: [ParNew: 3601K->278K(3904K), 0.0006962 secs] 10310K->6987K(12552K), 0.0007456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.561: [GC 11.561: [ParNew: 3668K->109K(3904K), 0.0004183 secs] 10377K->6818K(12552K), 0.0004578 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.563: [GC 11.563: [ParNew: 3481K->355K(3904K), 0.0005208 secs] 10190K->7064K(12552K), 0.0005638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.566: [GC 11.566: [ParNew: 3685K->292K(3904K), 0.0006139 secs] 10394K->7081K(12552K), 0.0006600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.569: [GC 11.569: [ParNew: 3613K->188K(3904K), 0.0005263 secs] 10402K->7058K(12552K), 0.0005637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.574: [GC 11.574: [ParNew: 3518K->377K(3904K), 0.0006245 secs] 10388K->7246K(12552K), 0.0006651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.578: [GC 11.578: [ParNew: 3726K->236K(3904K), 0.0006165 secs] 10596K->7177K(12552K), 0.0006737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.581: [GC 11.581: [ParNew: 3587K->416K(3904K), 0.0008417 secs] 10529K->7358K(12552K), 0.0008928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.585: [GC 11.585: [ParNew: 3760K->52K(3904K), 0.0012514 secs] 10701K->7368K(12552K), 0.0013194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
