5.291: [GC 56843K->3194K(1292544K), 0.0582010 secs]
5.349: [Full GC 3194K->3155K(1292544K), 0.0841890 secs]
11.369: [GC 112403K->8552K(1292544K), 0.0524530 secs]
16.974: [GC 117800K->17440K(1292544K), 0.1423830 secs]
20.213: [GC 126688K->23172K(1401792K), 0.1842380 secs]
20.451: [GC 27399K->23174K(1401792K), 0.0685780 secs]
20.520: [Full GC 23174K->23024K(1401792K), 0.3027560 secs]
33.716: [GC 241520K->32379K(1401792K), 0.2127540 secs]
40.004: [GC 250875K->39748K(1401792K), 0.0919000 secs]
51.823: [GC 258244K->54159K(1412352K), 0.1452980 secs]
53.600: [GC 276175K->55458K(1413696K), 0.1220690 secs]
59.205: [GC 277474K->57610K(1416000K), 0.1181230 secs]
546.795: [GC 273738K->79821K(1407168K), 0.1507750 secs]
683.075: [GC 295949K->108109K(1411776K), 0.1265110 secs]
691.431: [GC 318349K->107827K(1390656K), 0.0780370 secs]
719.571: [GC 318067K->108837K(1413184K), 0.0464440 secs]
723.943: [GC 320613K->110019K(1412992K), 0.0406490 secs]
731.954: [GC 321788K->142251K(1405696K), 0.0427790 secs]
1114.038: [GC 345963K->120622K(1370560K), 0.0296310 secs]
1565.554: [GC 322862K->121830K(1404800K), 0.0233640 secs]
2186.153: [GC 322598K->123905K(1367744K), 0.0241030 secs]
3107.137: [GC 322655K->124516K(1400192K), 0.0292940 secs]
3620.851: [GC 314131K->126389K(1365376K), 0.0334680 secs]
3620.885: [Full GC 126389K->75798K(1365376K), 0.7883600 secs]
4044.013: [GC 273686K->79665K(1395520K), 0.0272210 secs]
4500.163: [GC 273985K->81859K(1364736K), 0.0164400 secs]
4554.106: [GC 275702K->180663K(1389888K), 0.1760850 secs]
4661.834: [GC 345779K->246312K(1394112K), 0.1721320 secs]
4715.254: [GC 434396K->371888K(1396224K), 0.2450460 secs]
4767.074: [GC 556476K->400130K(1398400K), 0.1226540 secs]
4781.680: [GC 583799K->486429K(1398528K), 0.1994950 secs]
4822.078: [GC 668769K->516567K(1376704K), 0.1403970 secs]
4850.780: [GC 691850K->581797K(1393088K), 0.1599790 secs]
4884.099: [GC 737169K->633198K(1370816K), 0.1594900 secs]
4930.099: [GC 807406K->719702K(1377344K), 0.3073380 secs]
4942.727: [GC 876299K->806226K(1376320K), 0.2127970 secs]
4974.179: [GC 954909K->842559K(1380544K), 0.1415420 secs]
5000.458: [GC 986239K->894764K(1340352K), 0.1538120 secs]
5024.893: [GC 1037676K->954225K(1366656K), 0.2063850 secs]
5038.461: [GC 1072466K->1013015K(1338240K), 0.1912910 secs]
5059.810: [GC 1154391K->1100164K(1360960K), 0.1404280 secs]
5083.469: [GC 1234884K->1100432K(1327552K), 0.1075110 secs]
5083.576: [Full GC 1100432K->723123K(2102144K), 1.5292170 secs]
5097.819: [GC 856692K->759169K(2133696K), 0.0651790 secs]
5111.457: [GC 892545K->821898K(2104064K), 0.1094070 secs]
5135.667: [GC 954570K->849852K(2127040K), 0.0703980 secs]
5146.081: [GC 981824K->909193K(2103168K), 0.1306310 secs]
5163.411: [GC 1040521K->968363K(2121728K), 0.1258850 secs]
5197.624: [GC 1099051K->1023509K(2097920K), 0.1031180 secs]
5215.548: [GC 1139668K->1054853K(2116672K), 0.0921970 secs]
5228.050: [GC 1184261K->1095060K(2118656K), 0.0989110 secs]
5245.472: [GC 1223816K->1125346K(2115520K), 0.0998710 secs]
5253.475: [GC 1253466K->1157297K(2117824K), 0.1543730 secs]
5276.197: [GC 1285420K->1216843K(2095744K), 0.1375570 secs]
5297.058: [GC 1344331K->1253162K(2075392K), 0.2087740 secs]
5305.873: [GC 1389222K->1354603K(2113088K), 0.1400030 secs]
5334.629: [GC 1454079K->1367321K(2115520K), 0.0983580 secs]
5354.011: [GC 1490585K->1422919K(2112128K), 0.1124050 secs]
5360.061: [GC 1545605K->1493779K(2115328K), 0.1830730 secs]
5365.556: [GC 1609951K->1552623K(2138752K), 0.1761780 secs]
5397.540: [GC 1699755K->1580700K(2140736K), 0.1041460 secs]
5413.763: [GC 1713899K->1620457K(2166720K), 0.1624700 secs]
5429.663: [GC 1795880K->1679678K(2167296K), 0.1895290 secs]
5468.617: [GC 1847208K->1738589K(2169280K), 0.1981140 secs]
5488.502: [GC 1920917K->1828485K(2171136K), 0.2908200 secs]
5525.531: [GC 1997466K->1884151K(2173056K), 0.1419280 secs]
5525.673: [Full GC 1884151K->1447481K(2519872K), 1.4031690 secs]
5547.768: [GC 1637166K->1506689K(2521408K), 0.1155290 secs]
5580.212: [GC 1680948K->1534435K(2506880K), 0.1316830 secs]
5607.407: [GC 1717075K->1600832K(2515712K), 0.1362440 secs]
5634.130: [GC 1785047K->1633428K(2514176K), 0.0793070 secs]
5664.496: [GC 1817748K->1711223K(2497664K), 0.1693410 secs]
5691.106: [GC 1894326K->1797884K(2509760K), 0.1373170 secs]
5721.905: [GC 1979830K->1829816K(2499520K), 0.0829910 secs]
5737.020: [GC 2010611K->1869600K(2508032K), 0.1669490 secs]
5755.808: [GC 2047904K->1898931K(2493248K), 0.1324590 secs]
5788.806: [GC 2076028K->1956820K(2503232K), 0.1757450 secs]
5814.429: [GC 2132196K->2043058K(2489600K), 0.2138050 secs]
5840.610: [GC 2192670K->2098805K(2499968K), 0.2100440 secs]
5844.438: [GC 2272693K->2185295K(2501888K), 0.3025070 secs]
5872.812: [GC 2359183K->2268819K(2528448K), 0.2635760 secs]
5873.076: [Full GC 2268819K->1822547K(2528448K), 2.3665310 secs]
5898.219: [GC 2024278K->1870337K(2529984K), 0.0754510 secs]
