28.940: [GC 17024K->2610K(83008K), 0.0108498 secs]
46.567: [Full GC 19308K->10518K(83008K), 0.1100901 secs]
50.705: [Full GC 20569K->10520K(83008K), 0.0889929 secs]
91.684: [GC 27451K->13279K(83008K), 0.0083637 secs]
91.726: [GC 29954K->13280K(83008K), 0.0054632 secs]
91.764: [GC 29922K->13371K(83008K), 0.0023783 secs]
91.804: [GC 30009K->12839K(83008K), 0.0028169 secs]
91.824: [GC 29517K->12842K(83008K), 0.0023070 secs]
91.843: [GC 29497K->12871K(83008K), 0.0023566 secs]
91.859: [GC 29518K->13680K(83008K), 0.0024041 secs]
91.876: [GC 30362K->13317K(83008K), 0.0036413 secs]
91.894: [GC 30010K->13301K(83008K), 0.0019941 secs]
91.909: [GC 30006K->14111K(83008K), 0.0020988 secs]
91.927: [GC 30835K->13348K(83008K), 0.0025692 secs]
91.945: [GC 30126K->13342K(83008K), 0.0020264 secs]
91.962: [GC 30138K->13382K(83008K), 0.0021868 secs]
91.980: [GC 30170K->14218K(83008K), 0.0021995 secs]
92.000: [GC 31042K->13844K(83008K), 0.0037772 secs]
92.024: [GC 30691K->13819K(83008K), 0.0021483 secs]
92.043: [GC 30667K->13844K(83008K), 0.0022801 secs]
92.067: [GC 30740K->14650K(83008K), 0.0027677 secs]
92.087: [GC 31530K->13890K(83008K), 0.0022553 secs]
92.110: [GC 30874K->13893K(83008K), 0.0022862 secs]
92.131: [GC 30796K->13941K(83008K), 0.0021241 secs]
92.155: [GC 30924K->14730K(83008K), 0.0022425 secs]
92.179: [GC 31724K->14748K(83008K), 0.0034231 secs]
92.203: [GC 31402K->15164K(83008K), 0.0023117 secs]
92.238: [GC 31973K->14838K(83008K), 0.0032652 secs]
92.289: [GC 31554K->14464K(83008K), 0.0037555 secs]
92.338: [GC 31166K->14833K(83008K), 0.0056593 secs]
92.381: [GC 31565K->14518K(83008K), 0.0054025 secs]
92.428: [GC 31222K->15719K(83008K), 0.0047597 secs]
92.482: [GC 32678K->15030K(83008K), 0.0036642 secs]
92.511: [GC 31771K->15336K(83008K), 0.0022908 secs]
92.535: [GC 32052K->15774K(83008K), 0.0022427 secs]
92.562: [GC 32579K->15402K(83008K), 0.0025203 secs]
92.590: [GC 32303K->15042K(83008K), 0.0025209 secs]
92.615: [GC 31777K->15403K(83008K), 0.0025244 secs]
92.645: [GC 32293K->15825K(83008K), 0.0030551 secs]
92.672: [GC 32626K->15445K(83008K), 0.0023877 secs]
92.709: [GC 32469K->15057K(83008K), 0.0038496 secs]
92.746: [GC 31869K->16228K(83008K), 0.0045979 secs]
92.786: [GC 33096K->15905K(83008K), 0.0031886 secs]
92.827: [GC 32859K->16269K(83008K), 0.0032695 secs]
92.863: [GC 33279K->15157K(83008K), 0.0029607 secs]
92.896: [GC 32180K->15561K(83008K), 0.0032783 secs]
92.929: [GC 32523K->15127K(83008K), 0.0030589 secs]
92.966: [GC 32129K->15521K(83008K), 0.0030493 secs]
93.002: [GC 32269K->15731K(83008K), 0.0034815 secs]
93.040: [GC 32755K->15235K(83008K), 0.0031800 secs]
93.074: [GC 31893K->15270K(83008K), 0.0031952 secs]
93.111: [GC 31946K->16162K(83008K), 0.0036056 secs]
93.150: [GC 32891K->15307K(83008K), 0.0032494 secs]
93.184: [GC 32068K->15362K(83008K), 0.0030631 secs]
93.240: [GC 32227K->16164K(83008K), 0.0030672 secs]
93.296: [GC 33069K->15482K(83008K), 0.0044238 secs]
93.341: [GC 32343K->15518K(83008K), 0.0024985 secs]
93.377: [GC 32319K->15395K(83008K), 0.0025481 secs]
93.418: [GC 32278K->16191K(83008K), 0.0026739 secs]
93.453: [GC 32948K->16228K(83008K), 0.0027128 secs]
93.491: [GC 33110K->15421K(83008K), 0.0026388 secs]
93.532: [GC 32326K->16987K(83008K), 0.0031298 secs]
93.574: [GC 34011K->15483K(83008K), 0.0027694 secs]
93.620: [GC 32395K->15523K(83008K), 0.0038248 secs]
93.666: [GC 32419K->15503K(83008K), 0.0028342 secs]
93.713: [GC 32524K->15506K(83008K), 0.0027817 secs]
93.755: [GC 32530K->15542K(83008K), 0.0026806 secs]
93.795: [GC 32512K->16359K(83008K), 0.0030041 secs]
93.837: [GC 33376K->15583K(83008K), 0.0028577 secs]
93.883: [GC 32329K->15946K(83008K), 0.0033042 secs]
93.928: [GC 32649K->15547K(83008K), 0.0027730 secs]
93.972: [GC 32228K->15991K(83008K), 0.0027976 secs]
94.022: [GC 32997K->15988K(83008K), 0.0037399 secs]
94.072: [GC 32687K->15651K(83008K), 0.0030481 secs]
94.120: [GC 32460K->16017K(83008K), 0.0030948 secs]
94.165: [GC 32708K->16433K(83008K), 0.0039645 secs]
94.211: [GC 33218K->15979K(83008K), 0.0047116 secs]
94.279: [GC 32907K->17333K(83008K), 0.0043377 secs]
94.338: [GC 34344K->16964K(83008K), 0.0037275 secs]
94.382: [GC 33746K->17252K(83008K), 0.0028328 secs]
94.433: [GC 34008K->16874K(83008K), 0.0039198 secs]
94.484: [GC 33609K->17399K(83008K), 0.0035616 secs]
94.543: [GC 34320K->16883K(83008K), 0.0030450 secs]
94.596: [GC 33808K->16573K(83008K), 0.0046898 secs]
94.651: [GC 33321K->16973K(83008K), 0.0034620 secs]
94.708: [GC 33997K->16626K(83008K), 0.0043778 secs]
94.757: [GC 33452K->17783K(83008K), 0.0029507 secs]
94.807: [GC 34774K->17421K(83008K), 0.0031025 secs]
94.859: [GC 34332K->17038K(83008K), 0.0036814 secs]
94.914: [GC 34062K->16657K(83008K), 0.0030016 secs]
94.967: [GC 33603K->17835K(83008K), 0.0040883 secs]
95.022: [GC 34859K->17103K(83008K), 0.0035694 secs]
95.079: [GC 33851K->17051K(83008K), 0.0031276 secs]
95.133: [GC 33767K->17035K(83008K), 0.0029622 secs]
95.187: [GC 33944K->17481K(83008K), 0.0032079 secs]
95.258: [GC 34178K->17411K(83008K), 0.0031291 secs]
95.320: [GC 34172K->17301K(83008K), 0.0029906 secs]
95.372: [GC 34284K->17532K(83008K), 0.0041376 secs]
95.426: [GC 34184K->17594K(83008K), 0.0030693 secs]
95.484: [GC 34456K->17652K(83008K), 0.0033272 secs]
95.546: [GC 34299K->17683K(83008K), 0.0043935 secs]
95.609: [GC 34506K->17718K(83008K), 0.0035430 secs]
95.663: [GC 34423K->17681K(83008K), 0.0033042 secs]
95.725: [GC 34690K->17737K(83008K), 0.0031260 secs]
95.777: [GC 34484K->17707K(83008K), 0.0032281 secs]
95.833: [GC 34591K->17787K(83008K), 0.0031317 secs]
95.887: [GC 34541K->17760K(83008K), 0.0030741 secs]
95.955: [GC 34762K->17848K(83008K), 0.0034371 secs]
96.010: [GC 34543K->19363K(83008K), 0.0036163 secs]
96.069: [GC 36357K->18130K(83008K), 0.0033669 secs]
96.126: [GC 35046K->18913K(83008K), 0.0032056 secs]
96.185: [GC 35917K->18237K(83008K), 0.0031714 secs]
96.252: [GC 34955K->17804K(83008K), 0.0031415 secs]
96.320: [GC 34683K->18627K(83008K), 0.0049797 secs]
96.385: [GC 35550K->19044K(83008K), 0.0034986 secs]
96.447: [GC 36068K->18244K(83008K), 0.0032072 secs]
96.506: [GC 35225K->18242K(83008K), 0.0030742 secs]
96.565: [GC 34888K->19421K(83008K), 0.0034217 secs]
96.623: [GC 36327K->19051K(83008K), 0.0045124 secs]
96.691: [GC 35692K->18655K(83008K), 0.0034918 secs]
96.750: [GC 35642K->18673K(83008K), 0.0031324 secs]
96.815: [GC 35515K->19908K(83008K), 0.0034245 secs]
96.879: [GC 36703K->18806K(83008K), 0.0056527 secs]
96.940: [GC 35678K->19380K(83008K), 0.0033688 secs]
97.006: [GC 36080K->19567K(83008K), 0.0073554 secs]
97.079: [GC 36258K->19094K(83008K), 0.0032528 secs]
97.142: [GC 35973K->19604K(83008K), 0.0037057 secs]
