0.000: [GC 8700K->954K(97216K), 0.0293009 secs]
5.591: [GC 9649K->1469K(97216K), 0.0266520 secs]
11.015: [GC 10172K->2385K(97216K), 0.0263682 secs]
13.555: [GC 11089K->2647K(97216K), 0.0284871 secs]
15.291: [GC 11351K->3474K(97216K), 0.0182381 secs]
15.589: [GC 12178K->3809K(97216K), 0.0384219 secs]
18.159: [GC 12513K->4600K(97216K), 0.0438922 secs]
20.801: [GC 13300K->4988K(97216K), 0.0204152 secs]
22.184: [GC 13691K->5306K(97216K), 0.0197793 secs]
23.582: [GC 14010K->5901K(97216K), 0.0195670 secs]
25.230: [GC 14605K->6700K(97216K), 0.0679349 secs]
27.110: [GC 15393K->6956K(97216K), 0.0280541 secs]
28.681: [GC 15660K->7563K(97216K), 0.0145979 secs]
29.952: [Full GC 15404K->7527K(97216K), 0.4356610 secs]
39.949: [GC 16287K->7901K(97280K), 0.0290104 secs]
52.206: [GC 16645K->7942K(97280K), 0.0072800 secs]
79.913: [GC 16710K->8292K(97280K), 0.0191273 secs]
82.985: [GC 17060K->8355K(97280K), 0.0187253 secs]
85.370: [Full GC 16958K->8858K(97280K), 0.9282685 secs]
87.402: [GC 17690K->9403K(97344K), 0.0150642 secs]
89.639: [GC 18235K->10475K(97344K), 0.0334515 secs]
92.125: [GC 19300K->12577K(97344K), 0.0536361 secs]
94.101: [GC 21409K->14306K(97344K), 0.1273176 secs]
94.752: [GC 23138K->14788K(97344K), 0.0471783 secs]
96.019: [GC 23620K->15044K(97344K), 0.0138847 secs]
97.489: [GC 23875K->14963K(97344K), 0.0094898 secs]
99.314: [GC 23795K->15006K(97344K), 0.0072420 secs]
100.152: [GC 23833K->15262K(97344K), 0.0120127 secs]
100.342: [Full GC 18128K->15076K(97344K), 0.5917079 secs]
101.572: [GC 23908K->15475K(97344K), 0.0099569 secs]
102.239: [GC 24307K->15566K(97344K), 0.0079323 secs]
103.853: [GC 24398K->16704K(97344K), 0.0489342 secs]
105.001: [GC 25536K->18420K(97344K), 0.0604348 secs]
107.547: [GC 27252K->18289K(97344K), 0.0187465 secs]
114.017: [GC 27121K->20154K(97344K), 0.0561588 secs]
114.711: [GC 28986K->20981K(97344K), 0.0239486 secs]
115.149: [GC 29813K->20528K(97344K), 0.0100136 secs]
115.948: [GC 29360K->20578K(97344K), 0.0041050 secs]
116.487: [GC 29410K->20621K(97344K), 0.0056387 secs]
117.006: [GC 29453K->20667K(97344K), 0.0052523 secs]
117.078: [GC 29499K->20625K(97344K), 0.0030892 secs]
117.450: [GC 29302K->20960K(97344K), 0.0063969 secs]
117.827: [GC 29792K->21074K(97344K), 0.0074116 secs]
118.205: [GC 29906K->21168K(97344K), 0.0225842 secs]
118.841: [GC 30000K->21159K(97344K), 0.0111486 secs]
119.362: [GC 29991K->21205K(97344K), 0.0035915 secs]
119.459: [GC 30002K->21310K(97344K), 0.0045782 secs]
119.979: [GC 30142K->21212K(97344K), 0.0059756 secs]
120.338: [GC 29892K->21539K(97344K), 0.0055110 secs]
120.859: [GC 30371K->21641K(97344K), 0.0106882 secs]
121.339: [GC 30473K->21732K(97344K), 0.0056543 secs]
121.620: [GC 30564K->21730K(97344K), 0.0058742 secs]
121.696: [GC 30558K->21730K(97344K), 0.0040405 secs]
121.751: [GC 30551K->21861K(97344K), 0.0046833 secs]
121.787: [GC 30678K->21899K(97344K), 0.0044464 secs]
121.830: [GC 30731K->22011K(97344K), 0.0044888 secs]
121.875: [GC 30833K->22002K(97344K), 0.0108106 secs]
121.945: [GC 30833K->22008K(97344K), 0.0023645 secs]
121.983: [GC 30836K->22025K(97344K), 0.0029289 secs]
122.034: [GC 30853K->22025K(97344K), 0.0030512 secs]
122.179: [GC 30855K->22011K(97344K), 0.0154587 secs]
122.361: [GC 30838K->22035K(97344K), 0.0026718 secs]
122.402: [GC 30866K->22031K(97344K), 0.0026721 secs]
122.437: [GC 30853K->22055K(97344K), 0.0031225 secs]
122.492: [GC 30874K->22041K(97344K), 0.0026752 secs]
122.555: [GC 30861K->22026K(97344K), 0.0042477 secs]
122.588: [GC 30853K->22051K(97344K), 0.0019801 secs]
122.634: [GC 30882K->22056K(97344K), 0.0026450 secs]
122.664: [GC 30884K->22049K(97344K), 0.0027693 secs]
122.713: [GC 30869K->22035K(97344K), 0.0025947 secs]
122.742: [GC 30863K->22059K(97344K), 0.0030982 secs]
122.771: [GC 30879K->22044K(97344K), 0.0029870 secs]
122.800: [GC 30871K->22068K(97344K), 0.0029171 secs]
122.832: [GC 30887K->22054K(97344K), 0.0027587 secs]
122.870: [GC 30881K->22078K(97344K), 0.0030135 secs]
122.944: [GC 30902K->22061K(97344K), 0.0026132 secs]
123.020: [GC 30887K->22069K(97344K), 0.0027794 secs]
123.058: [GC 30897K->22064K(97344K), 0.0022665 secs]
123.112: [GC 30891K->22089K(97344K), 0.0049956 secs]
